| end of split   1 /  1 | epoch   1 | time:  1.43s | valid loss  6.04 | valid ppl   420.80 | learning rate 0.5000
| end of split   1 /  1 | epoch   2 | time:  0.83s | valid loss  5.61 | valid ppl   272.96 | learning rate 0.5000
| end of split   1 /  1 | epoch   3 | time:  0.84s | valid loss  5.57 | valid ppl   263.67 | learning rate 0.5000
| end of split   1 /  1 | epoch   4 | time:  0.76s | valid loss  5.56 | valid ppl   260.26 | learning rate 0.5000
| end of split   1 /  1 | epoch   5 | time:  0.79s | valid loss  5.56 | valid ppl   259.07 | learning rate 0.5000
| end of split   1 /  1 | epoch   6 | time:  0.65s | valid loss  5.56 | valid ppl   260.31 | learning rate 0.5000
| end of split   1 /  1 | epoch   7 | time:  1.01s | valid loss  5.55 | valid ppl   258.31 | learning rate 0.5000
| end of split   1 /  1 | epoch   8 | time:  0.60s | valid loss  5.57 | valid ppl   262.26 | learning rate 0.5000
| end of split   1 /  1 | epoch   9 | time:  0.60s | valid loss  5.58 | valid ppl   264.05 | learning rate 0.5000
| end of split   1 /  1 | epoch  10 | time:  0.60s | valid loss  5.56 | valid ppl   259.50 | learning rate 0.5000
| end of split   1 /  1 | epoch  11 | time:  0.60s | valid loss  5.56 | valid ppl   261.04 | learning rate 0.5000
| end of split   1 /  1 | epoch  12 | time:  0.65s | valid loss  5.57 | valid ppl   262.07 | learning rate 0.5000
| end of split   1 /  1 | epoch  13 | time:  0.59s | valid loss  5.57 | valid ppl   263.20 | learning rate 0.5000
| end of split   1 /  1 | epoch  14 | time:  0.59s | valid loss  5.57 | valid ppl   263.48 | learning rate 0.5000
| end of split   1 /  1 | epoch  15 | time:  0.59s | valid loss  5.59 | valid ppl   268.19 | learning rate 0.5000
| end of split   1 /  1 | epoch  16 | time:  0.59s | valid loss  5.58 | valid ppl   265.70 | learning rate 0.5000
| end of split   1 /  1 | epoch  17 | time:  0.59s | valid loss  5.57 | valid ppl   262.67 | learning rate 0.5000
| end of split   1 /  1 | epoch  18 | time:  0.62s | valid loss  5.59 | valid ppl   268.62 | learning rate 0.5000
| end of split   1 /  1 | epoch  19 | time:  0.59s | valid loss  5.58 | valid ppl   264.19 | learning rate 0.1250
| end of split   1 /  1 | epoch  20 | time:  0.59s | valid loss  5.59 | valid ppl   266.49 | learning rate 0.1250
| end of split   1 /  1 | epoch  21 | time:  0.59s | valid loss  5.59 | valid ppl   266.65 | learning rate 0.1250
| end of split   1 /  1 | epoch  22 | time:  0.59s | valid loss  5.59 | valid ppl   267.23 | learning rate 0.1250
| end of split   1 /  1 | epoch  23 | time:  0.59s | valid loss  5.59 | valid ppl   267.43 | learning rate 0.1250
| end of split   1 /  1 | epoch  24 | time:  0.59s | valid loss  5.59 | valid ppl   268.27 | learning rate 0.1250
| end of split   1 /  1 | epoch  25 | time:  0.59s | valid loss  5.59 | valid ppl   268.67 | learning rate 0.1250
| end of split   1 /  1 | epoch  26 | time:  0.61s | valid loss  5.59 | valid ppl   268.24 | learning rate 0.1250
| end of split   1 /  1 | epoch  27 | time:  0.61s | valid loss  5.59 | valid ppl   267.79 | learning rate 0.1250
| end of split   1 /  1 | epoch  28 | time:  0.60s | valid loss  5.59 | valid ppl   267.07 | learning rate 0.1250
| end of split   1 /  1 | epoch  29 | time:  0.60s | valid loss  5.59 | valid ppl   267.44 | learning rate 0.1250
| end of split   1 /  1 | epoch  30 | time:  0.62s | valid loss  5.59 | valid ppl   268.08 | learning rate 0.0312
TEST: valid loss  5.20 | valid ppl   181.82
| end of split   1 /  1 | epoch   1 | time:  1.15s | valid loss  6.01 | valid ppl   407.16 | learning rate 0.5000
| end of split   1 /  1 | epoch   2 | time:  0.74s | valid loss  5.61 | valid ppl   273.25 | learning rate 0.5000
