| end of split   1 /  3 | epoch   1 | time:  4.94s | valid loss  4.69 | valid ppl   108.96 | learning rate 20.0000
| end of split   2 /  3 | epoch   1 | time:  5.29s | valid loss  4.55 | valid ppl    94.38 | learning rate 20.0000
| end of split   3 /  3 | epoch   1 | time:  2.26s | valid loss  4.63 | valid ppl   102.89 | learning rate 20.0000
| end of split   1 /  3 | epoch   2 | time:  3.84s | valid loss  3.89 | valid ppl    49.10 | learning rate 20.0000
| end of split   2 /  3 | epoch   2 | time:  3.85s | valid loss  3.19 | valid ppl    24.17 | learning rate 20.0000
| end of split   3 /  3 | epoch   2 | time:  1.89s | valid loss  3.45 | valid ppl    31.52 | learning rate 20.0000
| end of split   1 /  3 | epoch   3 | time:  1.78s | valid loss  3.32 | valid ppl    27.69 | learning rate 20.0000
| end of split   2 /  3 | epoch   3 | time:  1.83s | valid loss  3.59 | valid ppl    36.30 | learning rate 20.0000
| end of split   3 /  3 | epoch   3 | time:  4.97s | valid loss  3.13 | valid ppl    22.86 | learning rate 20.0000
| end of split   1 /  3 | epoch   4 | time:  1.79s | valid loss  3.21 | valid ppl    24.84 | learning rate 20.0000
| end of split   2 /  3 | epoch   4 | time:  8.85s | valid loss  2.96 | valid ppl    19.29 | learning rate 20.0000
| end of split   3 /  3 | epoch   4 | time:  8.45s | valid loss  2.73 | valid ppl    15.29 | learning rate 20.0000
| end of split   1 /  3 | epoch   5 | time:  1.85s | valid loss  3.31 | valid ppl    27.34 | learning rate 20.0000
| end of split   2 /  3 | epoch   5 | time:  1.68s | valid loss  2.75 | valid ppl    15.66 | learning rate 20.0000
| end of split   3 /  3 | epoch   5 | time:  4.19s | valid loss  2.59 | valid ppl    13.39 | learning rate 20.0000
| end of split   1 /  3 | epoch   6 | time:  1.88s | valid loss  3.06 | valid ppl    21.31 | learning rate 20.0000
| end of split   2 /  3 | epoch   6 | time:  1.68s | valid loss  2.84 | valid ppl    17.17 | learning rate 20.0000
| end of split   3 /  3 | epoch   6 | time:  5.29s | valid loss  2.39 | valid ppl    10.89 | learning rate 20.0000
| end of split   1 /  3 | epoch   7 | time:  1.71s | valid loss  2.57 | valid ppl    13.08 | learning rate 20.0000
| end of split   2 /  3 | epoch   7 | time:  1.84s | valid loss  2.44 | valid ppl    11.46 | learning rate 20.0000
| end of split   3 /  3 | epoch   7 | time:  4.38s | valid loss  2.27 | valid ppl     9.67 | learning rate 20.0000
| end of split   1 /  3 | epoch   8 | time:  4.76s | valid loss  2.22 | valid ppl     9.23 | learning rate 20.0000
| end of split   2 /  3 | epoch   8 | time:  1.91s | valid loss  2.57 | valid ppl    13.07 | learning rate 20.0000
| end of split   3 /  3 | epoch   8 | time:  1.74s | valid loss  2.74 | valid ppl    15.53 | learning rate 20.0000
| end of split   1 /  3 | epoch   9 | time:  4.30s | valid loss  2.15 | valid ppl     8.60 | learning rate 20.0000
| end of split   2 /  3 | epoch   9 | time:  1.94s | valid loss  2.68 | valid ppl    14.62 | learning rate 20.0000
| end of split   3 /  3 | epoch   9 | time:  1.75s | valid loss  2.35 | valid ppl    10.50 | learning rate 20.0000
| end of split   1 /  3 | epoch  10 | time:  5.30s | valid loss  2.02 | valid ppl     7.56 | learning rate 20.0000
| end of split   2 /  3 | epoch  10 | time:  2.27s | valid loss  2.50 | valid ppl    12.21 | learning rate 20.0000
| end of split   3 /  3 | epoch  10 | time:  2.07s | valid loss  2.34 | valid ppl    10.41 | learning rate 20.0000
| end of split   1 /  3 | epoch  11 | time:  2.18s | valid loss  2.05 | valid ppl     7.79 | learning rate 20.0000
| end of split   2 /  3 | epoch  11 | time:  2.25s | valid loss  2.07 | valid ppl     7.92 | learning rate 20.0000
| end of split   3 /  3 | epoch  11 | time:  2.09s | valid loss  2.04 | valid ppl     7.69 | learning rate 20.0000
| end of split   1 /  3 | epoch  12 | time:  4.48s | valid loss  1.96 | valid ppl     7.13 | learning rate 20.0000
| end of split   2 /  3 | epoch  12 | time:  2.16s | valid loss  2.03 | valid ppl     7.65 | learning rate 20.0000
| end of split   3 /  3 | epoch  12 | time:  1.99s | valid loss  2.12 | valid ppl     8.32 | learning rate 20.0000
| end of split   1 /  3 | epoch  13 | time:  2.18s | valid loss  2.05 | valid ppl     7.73 | learning rate 20.0000
| end of split   2 /  3 | epoch  13 | time:  2.17s | valid loss  2.05 | valid ppl     7.76 | learning rate 20.0000
| end of split   3 /  3 | epoch  13 | time:  1.99s | valid loss  2.20 | valid ppl     9.07 | learning rate 20.0000
| end of split   1 /  3 | epoch  14 | time:  2.27s | valid loss  2.07 | valid ppl     7.93 | learning rate 20.0000
| end of split   2 /  3 | epoch  14 | time:  2.11s | valid loss  2.28 | valid ppl     9.77 | learning rate 20.0000
| end of split   3 /  3 | epoch  14 | time:  2.29s | valid loss  2.42 | valid ppl    11.30 | learning rate 20.0000
| end of split   1 /  3 | epoch  15 | time:  2.22s | valid loss  2.00 | valid ppl     7.36 | learning rate 20.0000
| end of split   2 /  3 | epoch  15 | time:  2.16s | valid loss  2.16 | valid ppl     8.69 | learning rate 20.0000
| end of split   3 /  3 | epoch  15 | time:  2.40s | valid loss  2.21 | valid ppl     9.14 | learning rate 20.0000
| end of split   1 /  3 | epoch  16 | time:  5.65s | valid loss  1.91 | valid ppl     6.76 | learning rate 5.0000
| end of split   2 /  3 | epoch  16 | time:  2.29s | valid loss  1.95 | valid ppl     7.05 | learning rate 5.0000
| end of split   3 /  3 | epoch  16 | time:  4.36s | valid loss  1.83 | valid ppl     6.23 | learning rate 5.0000
| end of split   1 /  3 | epoch  17 | time:  8.31s | valid loss  1.80 | valid ppl     6.05 | learning rate 5.0000
| end of split   2 /  3 | epoch  17 | time:  9.59s | valid loss  1.79 | valid ppl     5.99 | learning rate 5.0000
| end of split   3 /  3 | epoch  17 | time:  2.24s | valid loss  1.85 | valid ppl     6.37 | learning rate 5.0000
| end of split   1 /  3 | epoch  18 | time:  1.94s | valid loss  1.81 | valid ppl     6.10 | learning rate 5.0000
| end of split   2 /  3 | epoch  18 | time:  4.66s | valid loss  1.78 | valid ppl     5.91 | learning rate 5.0000
| end of split   3 /  3 | epoch  18 | time:  2.37s | valid loss  1.83 | valid ppl     6.26 | learning rate 5.0000
| end of split   1 /  3 | epoch  19 | time:  2.42s | valid loss  1.88 | valid ppl     6.53 | learning rate 5.0000
| end of split   2 /  3 | epoch  19 | time:  2.33s | valid loss  1.81 | valid ppl     6.12 | learning rate 5.0000
| end of split   3 /  3 | epoch  19 | time:  2.29s | valid loss  1.80 | valid ppl     6.04 | learning rate 5.0000
| end of split   1 /  3 | epoch  20 | time:  2.42s | valid loss  1.85 | valid ppl     6.34 | learning rate 5.0000
| end of split   2 /  3 | epoch  20 | time:  2.17s | valid loss  1.82 | valid ppl     6.16 | learning rate 5.0000
| end of split   3 /  3 | epoch  20 | time:  2.34s | valid loss  1.80 | valid ppl     6.03 | learning rate 5.0000
