| end of split   1 /  4 | epoch   1 | time:  1.21s | valid loss  9.08 | valid ppl  8772.89 | learning rate 20.0000
| end of split   2 /  4 | epoch   1 | time:  1.17s | valid loss  4.15 | valid ppl    63.23 | learning rate 20.0000
| end of split   3 /  4 | epoch   1 | time:  1.30s | valid loss  3.97 | valid ppl    52.86 | learning rate 20.0000
| end of split   4 /  4 | epoch   1 | time:  1.16s | valid loss  3.58 | valid ppl    35.75 | learning rate 20.0000
| end of split   1 /  4 | epoch   2 | time:  1.10s | valid loss  3.48 | valid ppl    32.57 | learning rate 20.0000
| end of split   2 /  4 | epoch   2 | time:  0.90s | valid loss  3.77 | valid ppl    43.38 | learning rate 20.0000
| end of split   3 /  4 | epoch   2 | time:  1.35s | valid loss  3.32 | valid ppl    27.72 | learning rate 20.0000
| end of split   4 /  4 | epoch   2 | time:  0.88s | valid loss  3.54 | valid ppl    34.59 | learning rate 20.0000
| end of split   1 /  4 | epoch   3 | time:  0.95s | valid loss  3.36 | valid ppl    28.85 | learning rate 20.0000
| end of split   2 /  4 | epoch   3 | time:  0.83s | valid loss  3.50 | valid ppl    32.97 | learning rate 20.0000
| end of split   3 /  4 | epoch   3 | time:  0.89s | valid loss  3.59 | valid ppl    36.41 | learning rate 20.0000
| end of split   4 /  4 | epoch   3 | time:  1.14s | valid loss  3.24 | valid ppl    25.60 | learning rate 20.0000
| end of split   1 /  4 | epoch   4 | time:  0.86s | valid loss  3.49 | valid ppl    32.88 | learning rate 20.0000
| end of split   2 /  4 | epoch   4 | time:  1.13s | valid loss  3.16 | valid ppl    23.48 | learning rate 20.0000
| end of split   3 /  4 | epoch   4 | time:  0.92s | valid loss  3.20 | valid ppl    24.64 | learning rate 20.0000
| end of split   4 /  4 | epoch   4 | time:  0.89s | valid loss  3.34 | valid ppl    28.26 | learning rate 20.0000
| end of split   1 /  4 | epoch   5 | time:  0.84s | valid loss  3.37 | valid ppl    29.18 | learning rate 20.0000
| end of split   2 /  4 | epoch   5 | time:  0.92s | valid loss  3.17 | valid ppl    23.71 | learning rate 20.0000
| end of split   3 /  4 | epoch   5 | time:  0.89s | valid loss  3.43 | valid ppl    30.79 | learning rate 20.0000
| end of split   4 /  4 | epoch   5 | time:  1.22s | valid loss  2.98 | valid ppl    19.67 | learning rate 20.0000
| end of split   1 /  4 | epoch   6 | time:  0.90s | valid loss  3.21 | valid ppl    24.75 | learning rate 20.0000
| end of split   2 /  4 | epoch   6 | time:  0.94s | valid loss  3.09 | valid ppl    22.05 | learning rate 20.0000
| end of split   3 /  4 | epoch   6 | time:  0.79s | valid loss  3.23 | valid ppl    25.35 | learning rate 20.0000
| end of split   4 /  4 | epoch   6 | time:  0.82s | valid loss  3.04 | valid ppl    20.94 | learning rate 20.0000
| end of split   1 /  4 | epoch   7 | time:  0.90s | valid loss  3.09 | valid ppl    22.07 | learning rate 20.0000
| end of split   2 /  4 | epoch   7 | time:  0.92s | valid loss  2.98 | valid ppl    19.71 | learning rate 20.0000
| end of split   3 /  4 | epoch   7 | time:  0.93s | valid loss  2.99 | valid ppl    19.94 | learning rate 20.0000
