| end of split   1 /  3 | epoch   1 | time:  9.20s | valid loss  3.52 | valid ppl    33.88 | learning rate 20.0000
| end of split   2 /  3 | epoch   1 | time:  9.59s | valid loss  3.27 | valid ppl    26.18 | learning rate 20.0000
| end of split   3 /  3 | epoch   1 | time: 10.30s | valid loss  2.87 | valid ppl    17.60 | learning rate 20.0000
| end of split   1 /  3 | epoch   2 | time:  9.86s | valid loss  2.85 | valid ppl    17.30 | learning rate 20.0000
| end of split   2 /  3 | epoch   2 | time:  8.72s | valid loss  2.65 | valid ppl    14.10 | learning rate 20.0000
| end of split   3 /  3 | epoch   2 | time:  9.53s | valid loss  2.57 | valid ppl    13.10 | learning rate 20.0000
| end of split   1 /  3 | epoch   3 | time:  2.17s | valid loss  2.60 | valid ppl    13.47 | learning rate 20.0000
| end of split   2 /  3 | epoch   3 | time:  1.96s | valid loss  2.66 | valid ppl    14.31 | learning rate 20.0000
| end of split   3 /  3 | epoch   3 | time:  4.81s | valid loss  2.36 | valid ppl    10.60 | learning rate 20.0000
| end of split   1 /  3 | epoch   4 | time:  1.98s | valid loss  2.43 | valid ppl    11.41 | learning rate 20.0000
| end of split   2 /  3 | epoch   4 | time:  5.08s | valid loss  2.24 | valid ppl     9.39 | learning rate 20.0000
| end of split   3 /  3 | epoch   4 | time:  2.10s | valid loss  2.44 | valid ppl    11.49 | learning rate 20.0000
| end of split   1 /  3 | epoch   5 | time:  2.39s | valid loss  2.35 | valid ppl    10.48 | learning rate 20.0000
| end of split   2 /  3 | epoch   5 | time:  2.01s | valid loss  2.38 | valid ppl    10.80 | learning rate 20.0000
| end of split   3 /  3 | epoch   5 | time:  4.67s | valid loss  2.23 | valid ppl     9.28 | learning rate 20.0000
| end of split   1 /  3 | epoch   6 | time:  4.70s | valid loss  2.15 | valid ppl     8.55 | learning rate 20.0000
| end of split   2 /  3 | epoch   6 | time:  2.10s | valid loss  2.21 | valid ppl     9.14 | learning rate 20.0000
| end of split   3 /  3 | epoch   6 | time:  1.97s | valid loss  2.24 | valid ppl     9.37 | learning rate 20.0000
| end of split   1 /  3 | epoch   7 | time:  2.16s | valid loss  2.18 | valid ppl     8.88 | learning rate 20.0000
| end of split   2 /  3 | epoch   7 | time:  4.89s | valid loss  2.08 | valid ppl     7.99 | learning rate 20.0000
| end of split   3 /  3 | epoch   7 | time:  4.42s | valid loss  1.99 | valid ppl     7.34 | learning rate 20.0000
| end of split   1 /  3 | epoch   8 | time:  2.27s | valid loss  2.12 | valid ppl     8.37 | learning rate 20.0000
| end of split   2 /  3 | epoch   8 | time:  2.10s | valid loss  2.19 | valid ppl     8.91 | learning rate 20.0000
| end of split   3 /  3 | epoch   8 | time:  2.31s | valid loss  2.04 | valid ppl     7.72 | learning rate 20.0000
| end of split   1 /  3 | epoch   9 | time:  2.19s | valid loss  2.07 | valid ppl     7.94 | learning rate 20.0000
| end of split   2 /  3 | epoch   9 | time:  4.67s | valid loss  1.98 | valid ppl     7.25 | learning rate 20.0000
| end of split   3 /  3 | epoch   9 | time:  1.99s | valid loss  1.99 | valid ppl     7.33 | learning rate 20.0000
| end of split   1 /  3 | epoch  10 | time:  3.91s | valid loss  1.97 | valid ppl     7.19 | learning rate 20.0000
| end of split   2 /  3 | epoch  10 | time:  2.08s | valid loss  2.04 | valid ppl     7.72 | learning rate 20.0000
| end of split   3 /  3 | epoch  10 | time:  4.39s | valid loss  1.97 | valid ppl     7.14 | learning rate 20.0000
| end of split   1 /  3 | epoch  11 | time:  2.02s | valid loss  2.02 | valid ppl     7.54 | learning rate 20.0000
| end of split   2 /  3 | epoch  11 | time:  4.89s | valid loss  1.92 | valid ppl     6.80 | learning rate 20.0000
| end of split   3 /  3 | epoch  11 | time: 12.07s | valid loss  2.03 | valid ppl     7.58 | learning rate 20.0000
| end of split   1 /  3 | epoch  12 | time: 13.24s | valid loss  2.09 | valid ppl     8.07 | learning rate 20.0000
| end of split   2 /  3 | epoch  12 | time:  2.34s | valid loss  1.97 | valid ppl     7.16 | learning rate 20.0000
| end of split   3 /  3 | epoch  12 | time:  2.80s | valid loss  1.97 | valid ppl     7.20 | learning rate 20.0000
| end of split   1 /  3 | epoch  13 | time:  2.42s | valid loss  1.99 | valid ppl     7.32 | learning rate 20.0000
| end of split   2 /  3 | epoch  13 | time:  2.35s | valid loss  1.98 | valid ppl     7.23 | learning rate 20.0000
| end of split   3 /  3 | epoch  13 | time: 15.34s | valid loss  1.90 | valid ppl     6.71 | learning rate 20.0000
| end of split   1 /  3 | epoch  14 | time:  1.99s | valid loss  1.98 | valid ppl     7.27 | learning rate 20.0000
| end of split   2 /  3 | epoch  14 | time:  2.15s | valid loss  1.99 | valid ppl     7.32 | learning rate 20.0000
| end of split   3 /  3 | epoch  14 | time:  2.18s | valid loss  1.92 | valid ppl     6.80 | learning rate 20.0000
| end of split   1 /  3 | epoch  15 | time:  2.59s | valid loss  1.97 | valid ppl     7.16 | learning rate 20.0000
| end of split   2 /  3 | epoch  15 | time:  2.22s | valid loss  1.98 | valid ppl     7.27 | learning rate 20.0000
| end of split   3 /  3 | epoch  15 | time:  1.93s | valid loss  1.98 | valid ppl     7.26 | learning rate 20.0000
| end of split   1 /  3 | epoch  16 | time:  2.01s | valid loss  2.03 | valid ppl     7.63 | learning rate 20.0000
| end of split   2 /  3 | epoch  16 | time:  2.16s | valid loss  1.97 | valid ppl     7.15 | learning rate 20.0000
| end of split   3 /  3 | epoch  16 | time:  2.09s | valid loss  1.93 | valid ppl     6.92 | learning rate 20.0000
| end of split   1 /  3 | epoch  17 | time:  2.13s | valid loss  1.97 | valid ppl     7.14 | learning rate 20.0000
| end of split   2 /  3 | epoch  17 | time:  2.18s | valid loss  1.99 | valid ppl     7.29 | learning rate 20.0000
| end of split   3 /  3 | epoch  17 | time:  5.06s | valid loss  1.90 | valid ppl     6.70 | learning rate 5.0000
| end of split   1 /  3 | epoch  18 | time:  2.13s | valid loss  1.91 | valid ppl     6.78 | learning rate 5.0000
| end of split   2 /  3 | epoch  18 | time:  2.14s | valid loss  1.92 | valid ppl     6.85 | learning rate 5.0000
| end of split   3 /  3 | epoch  18 | time:  6.85s | valid loss  1.88 | valid ppl     6.56 | learning rate 5.0000
| end of split   1 /  3 | epoch  19 | time:  4.60s | valid loss  1.86 | valid ppl     6.43 | learning rate 5.0000
| end of split   2 /  3 | epoch  19 | time:  2.09s | valid loss  1.88 | valid ppl     6.59 | learning rate 5.0000
| end of split   3 /  3 | epoch  19 | time:  2.29s | valid loss  1.88 | valid ppl     6.58 | learning rate 5.0000
| end of split   1 /  3 | epoch  20 | time:  2.00s | valid loss  1.90 | valid ppl     6.66 | learning rate 5.0000
| end of split   2 /  3 | epoch  20 | time:  2.11s | valid loss  1.87 | valid ppl     6.51 | learning rate 5.0000
| end of split   3 /  3 | epoch  20 | time:  2.16s | valid loss  1.88 | valid ppl     6.56 | learning rate 5.0000
| end of split   1 /  3 | epoch  21 | time:  2.14s | valid loss  1.89 | valid ppl     6.59 | learning rate 5.0000
| end of split   2 /  3 | epoch  21 | time:  2.11s | valid loss  1.89 | valid ppl     6.64 | learning rate 5.0000
| end of split   3 /  3 | epoch  21 | time:  2.19s | valid loss  1.90 | valid ppl     6.67 | learning rate 5.0000
| end of split   1 /  3 | epoch  22 | time:  2.23s | valid loss  1.92 | valid ppl     6.84 | learning rate 5.0000
| end of split   2 /  3 | epoch  22 | time:  2.11s | valid loss  1.90 | valid ppl     6.65 | learning rate 5.0000
| end of split   3 /  3 | epoch  22 | time:  2.25s | valid loss  1.90 | valid ppl     6.69 | learning rate 5.0000
| end of split   1 /  3 | epoch  23 | time:  5.51s | valid loss  1.91 | valid ppl     6.72 | learning rate 1.2500
| end of split   2 /  3 | epoch  23 | time:  4.32s | valid loss  1.91 | valid ppl     6.73 | learning rate 1.2500
| end of split   3 /  3 | epoch  23 | time:  2.08s | valid loss  1.90 | valid ppl     6.66 | learning rate 1.2500
| end of split   1 /  3 | epoch  24 | time:  2.73s | valid loss  1.90 | valid ppl     6.70 | learning rate 1.2500
| end of split   2 /  3 | epoch  24 | time:  2.26s | valid loss  1.91 | valid ppl     6.73 | learning rate 1.2500
| end of split   3 /  3 | epoch  24 | time:  2.10s | valid loss  1.90 | valid ppl     6.69 | learning rate 1.2500
| end of split   1 /  3 | epoch  25 | time:  4.85s | valid loss  1.90 | valid ppl     6.69 | learning rate 1.2500
| end of split   2 /  3 | epoch  25 | time:  3.09s | valid loss  1.91 | valid ppl     6.72 | learning rate 1.2500
| end of split   3 /  3 | epoch  25 | time:  2.25s | valid loss  1.91 | valid ppl     6.74 | learning rate 1.2500
| end of split   1 /  3 | epoch  26 | time:  2.52s | valid loss  1.91 | valid ppl     6.76 | learning rate 1.2500
| end of split   2 /  3 | epoch  26 | time:  2.49s | valid loss  1.92 | valid ppl     6.82 | learning rate 1.2500
| end of split   3 /  3 | epoch  26 | time:  2.15s | valid loss  1.91 | valid ppl     6.79 | learning rate 0.3125
| end of split   1 /  3 | epoch  27 | time:  6.62s | valid loss  1.92 | valid ppl     6.79 | learning rate 0.3125
| end of split   2 /  3 | epoch  27 | time:  2.67s | valid loss  1.91 | valid ppl     6.77 | learning rate 0.3125
| end of split   3 /  3 | epoch  27 | time:  2.09s | valid loss  1.91 | valid ppl     6.77 | learning rate 0.3125
| end of split   1 /  3 | epoch  28 | time:  2.27s | valid loss  1.91 | valid ppl     6.78 | learning rate 0.3125
| end of split   2 /  3 | epoch  28 | time:  2.19s | valid loss  1.91 | valid ppl     6.76 | learning rate 0.3125
| end of split   3 /  3 | epoch  28 | time:  2.09s | valid loss  1.91 | valid ppl     6.77 | learning rate 0.3125
| end of split   1 /  3 | epoch  29 | time:  2.10s | valid loss  1.91 | valid ppl     6.75 | learning rate 0.3125
| end of split   2 /  3 | epoch  29 | time:  2.01s | valid loss  1.91 | valid ppl     6.75 | learning rate 0.3125
| end of split   3 /  3 | epoch  29 | time:  2.26s | valid loss  1.91 | valid ppl     6.76 | learning rate 0.3125
| end of split   1 /  3 | epoch  30 | time:  2.19s | valid loss  1.91 | valid ppl     6.77 | learning rate 0.3125
| end of split   2 /  3 | epoch  30 | time:  2.09s | valid loss  1.91 | valid ppl     6.77 | learning rate 0.0781
| end of split   3 /  3 | epoch  30 | time:  2.09s | valid loss  1.91 | valid ppl     6.77 | learning rate 0.0781
| end of split   1 /  3 | epoch  31 | time:  2.15s | valid loss  1.91 | valid ppl     6.77 | learning rate 0.0781
| end of split   2 /  3 | epoch  31 | time:  2.22s | valid loss  1.91 | valid ppl     6.77 | learning rate 0.0781
| end of split   3 /  3 | epoch  31 | time:  2.29s | valid loss  1.91 | valid ppl     6.77 | learning rate 0.0781
| end of split   1 /  3 | epoch  32 | time:  2.18s | valid loss  1.91 | valid ppl     6.77 | learning rate 0.0781
