| end of split   1 /  3 | epoch   1 | time:  2.04s | valid loss  7.18 | valid ppl  1312.89 | learning rate 20.0000
| end of split   2 /  3 | epoch   1 | time:  1.47s | valid loss  8.00 | valid ppl  2985.72 | learning rate 20.0000
| end of split   3 /  3 | epoch   1 | time:  1.74s | valid loss  7.03 | valid ppl  1129.83 | learning rate 20.0000
| end of split   1 /  3 | epoch   2 | time:  1.82s | valid loss  7.10 | valid ppl  1207.43 | learning rate 20.0000
| end of split   2 /  3 | epoch   2 | time:  1.34s | valid loss  7.40 | valid ppl  1627.88 | learning rate 20.0000
| end of split   3 /  3 | epoch   2 | time:  2.82s | valid loss  7.05 | valid ppl  1149.05 | learning rate 20.0000
| end of split   1 /  3 | epoch   3 | time:  1.66s | valid loss  6.98 | valid ppl  1077.94 | learning rate 20.0000
| end of split   2 /  3 | epoch   3 | time:  1.50s | valid loss  7.63 | valid ppl  2066.83 | learning rate 20.0000
| end of split   3 /  3 | epoch   3 | time:  1.68s | valid loss  7.21 | valid ppl  1348.60 | learning rate 20.0000
| end of split   1 /  3 | epoch   4 | time:  1.70s | valid loss  6.88 | valid ppl   975.65 | learning rate 20.0000
| end of split   2 /  3 | epoch   4 | time:  1.30s | valid loss  7.14 | valid ppl  1265.73 | learning rate 20.0000
| end of split   3 /  3 | epoch   4 | time:  1.85s | valid loss  6.91 | valid ppl  1002.02 | learning rate 20.0000
| end of split   1 /  3 | epoch   5 | time:  1.57s | valid loss  7.27 | valid ppl  1429.91 | learning rate 20.0000
| end of split   2 /  3 | epoch   5 | time:  1.51s | valid loss  6.90 | valid ppl   992.95 | learning rate 20.0000
| end of split   3 /  3 | epoch   5 | time:  1.46s | valid loss  6.77 | valid ppl   870.00 | learning rate 20.0000
| end of split   1 /  3 | epoch   6 | time:  1.51s | valid loss  6.73 | valid ppl   839.03 | learning rate 20.0000
| end of split   2 /  3 | epoch   6 | time:  1.33s | valid loss  6.90 | valid ppl   990.21 | learning rate 20.0000
| end of split   3 /  3 | epoch   6 | time:  1.43s | valid loss  7.18 | valid ppl  1315.05 | learning rate 20.0000
| end of split   1 /  3 | epoch   7 | time:  1.58s | valid loss  6.79 | valid ppl   891.99 | learning rate 20.0000
| end of split   2 /  3 | epoch   7 | time:  1.34s | valid loss  7.05 | valid ppl  1153.78 | learning rate 20.0000
| end of split   3 /  3 | epoch   7 | time:  1.40s | valid loss  6.84 | valid ppl   938.84 | learning rate 20.0000
| end of split   1 /  3 | epoch   8 | time:  1.55s | valid loss  6.98 | valid ppl  1075.50 | learning rate 20.0000
| end of split   2 /  3 | epoch   8 | time:  1.31s | valid loss  6.97 | valid ppl  1066.90 | learning rate 20.0000
| end of split   3 /  3 | epoch   8 | time:  1.53s | valid loss  6.57 | valid ppl   713.03 | learning rate 20.0000
| end of split   1 /  3 | epoch   9 | time:  1.78s | valid loss  6.64 | valid ppl   766.68 | learning rate 20.0000
| end of split   2 /  3 | epoch   9 | time:  1.59s | valid loss  6.62 | valid ppl   752.36 | learning rate 20.0000
| end of split   3 /  3 | epoch   9 | time:  1.66s | valid loss  6.70 | valid ppl   816.36 | learning rate 20.0000
| end of split   1 /  3 | epoch  10 | time:  2.27s | valid loss  6.65 | valid ppl   774.86 | learning rate 20.0000
TEST: valid loss  6.60 | valid ppl   735.86
| end of split   1 /  3 | epoch   1 | time:  3.04s | valid loss  1.78 | valid ppl     5.94 | learning rate 20.0000
| end of split   2 /  3 | epoch   1 | time:  2.25s | valid loss  2.21 | valid ppl     9.12 | learning rate 20.0000
| end of split   3 /  3 | epoch   1 | time:  2.64s | valid loss  1.73 | valid ppl     5.67 | learning rate 20.0000
| end of split   1 /  3 | epoch   2 | time:  2.25s | valid loss  2.08 | valid ppl     8.02 | learning rate 20.0000
TEST: valid loss  2.35 | valid ppl    10.45
| end of split   1 /  3 | epoch   1 | time:  1.58s | valid loss  7.17 | valid ppl  1299.12 | learning rate 20.0000
| end of split   2 /  3 | epoch   1 | time:  0.86s | valid loss 16.34 | valid ppl 12441086.57 | learning rate 20.0000
| end of split   3 /  3 | epoch   1 | time:  0.81s | valid loss  7.22 | valid ppl  1365.15 | learning rate 20.0000
| end of split   1 /  3 | epoch   2 | time:  0.92s | valid loss  7.43 | valid ppl  1680.18 | learning rate 20.0000
| end of split   2 /  3 | epoch   2 | time:  1.21s | valid loss  6.92 | valid ppl  1014.26 | learning rate 20.0000
| end of split   3 /  3 | epoch   2 | time:  0.87s | valid loss  7.46 | valid ppl  1742.70 | learning rate 20.0000
| end of split   1 /  3 | epoch   3 | time:  0.83s | valid loss  7.37 | valid ppl  1591.45 | learning rate 20.0000
| end of split   2 /  3 | epoch   3 | time:  0.87s | valid loss  6.98 | valid ppl  1078.07 | learning rate 20.0000
| end of split   3 /  3 | epoch   3 | time:  0.87s | valid loss  7.20 | valid ppl  1336.47 | learning rate 20.0000
| end of split   1 /  3 | epoch   4 | time:  1.08s | valid loss  6.89 | valid ppl   986.12 | learning rate 20.0000
| end of split   2 /  3 | epoch   4 | time:  1.23s | valid loss  6.70 | valid ppl   808.92 | learning rate 20.0000
| end of split   3 /  3 | epoch   4 | time:  0.81s | valid loss  7.32 | valid ppl  1511.78 | learning rate 20.0000
| end of split   1 /  3 | epoch   5 | time:  0.81s | valid loss  7.25 | valid ppl  1413.61 | learning rate 20.0000
| end of split   2 /  3 | epoch   5 | time:  0.78s | valid loss  6.76 | valid ppl   860.64 | learning rate 20.0000
| end of split   3 /  3 | epoch   5 | time:  0.78s | valid loss  7.54 | valid ppl  1876.38 | learning rate 20.0000
| end of split   1 /  3 | epoch   6 | time:  1.06s | valid loss  7.03 | valid ppl  1127.15 | learning rate 20.0000
| end of split   2 /  3 | epoch   6 | time:  0.81s | valid loss  6.90 | valid ppl   993.80 | learning rate 20.0000
| end of split   3 /  3 | epoch   6 | time:  0.80s | valid loss  6.83 | valid ppl   928.45 | learning rate 20.0000
| end of split   1 /  3 | epoch   7 | time:  0.87s | valid loss  6.90 | valid ppl   990.16 | learning rate 20.0000
| end of split   2 /  3 | epoch   7 | time:  0.80s | valid loss  6.74 | valid ppl   841.55 | learning rate 20.0000
| end of split   3 /  3 | epoch   7 | time:  1.07s | valid loss  6.64 | valid ppl   767.81 | learning rate 20.0000
| end of split   1 /  3 | epoch   8 | time:  1.05s | valid loss  6.54 | valid ppl   695.52 | learning rate 20.0000
| end of split   2 /  3 | epoch   8 | time:  0.82s | valid loss  6.58 | valid ppl   723.38 | learning rate 20.0000
| end of split   3 /  3 | epoch   8 | time:  0.81s | valid loss  6.62 | valid ppl   748.00 | learning rate 20.0000
| end of split   1 /  3 | epoch   9 | time:  0.88s | valid loss  6.79 | valid ppl   891.18 | learning rate 20.0000
| end of split   2 /  3 | epoch   9 | time:  1.11s | valid loss  6.50 | valid ppl   662.54 | learning rate 20.0000
| end of split   3 /  3 | epoch   9 | time:  1.02s | valid loss  6.40 | valid ppl   604.73 | learning rate 20.0000
| end of split   1 /  3 | epoch  10 | time:  0.82s | valid loss  6.59 | valid ppl   727.36 | learning rate 20.0000
| end of split   2 /  3 | epoch  10 | time:  0.81s | valid loss  6.58 | valid ppl   717.96 | learning rate 20.0000
| end of split   3 /  3 | epoch  10 | time:  0.93s | valid loss  6.48 | valid ppl   652.90 | learning rate 20.0000
| end of split   1 /  3 | epoch  11 | time:  1.05s | valid loss  6.37 | valid ppl   584.06 | learning rate 20.0000
| end of split   2 /  3 | epoch  11 | time:  0.81s | valid loss  6.81 | valid ppl   909.22 | learning rate 20.0000
| end of split   3 /  3 | epoch  11 | time:  0.85s | valid loss  6.55 | valid ppl   697.48 | learning rate 20.0000
| end of split   1 /  3 | epoch  12 | time:  0.85s | valid loss  6.58 | valid ppl   718.27 | learning rate 20.0000
| end of split   2 /  3 | epoch  12 | time:  0.80s | valid loss  6.62 | valid ppl   749.06 | learning rate 20.0000
| end of split   3 /  3 | epoch  12 | time:  1.37s | valid loss  6.23 | valid ppl   509.02 | learning rate 20.0000
| end of split   1 /  3 | epoch  13 | time:  1.23s | valid loss  6.21 | valid ppl   498.21 | learning rate 20.0000
| end of split   2 /  3 | epoch  13 | time:  1.22s | valid loss  6.20 | valid ppl   494.04 | learning rate 20.0000
| end of split   3 /  3 | epoch  13 | time:  1.06s | valid loss  6.16 | valid ppl   475.77 | learning rate 20.0000
| end of split   1 /  3 | epoch  14 | time:  0.86s | valid loss  6.37 | valid ppl   586.79 | learning rate 20.0000
| end of split   2 /  3 | epoch  14 | time:  0.83s | valid loss  6.53 | valid ppl   685.37 | learning rate 20.0000
| end of split   3 /  3 | epoch  14 | time:  0.82s | valid loss  6.19 | valid ppl   488.36 | learning rate 20.0000
| end of split   1 /  3 | epoch  15 | time:  0.82s | valid loss  6.44 | valid ppl   626.54 | learning rate 20.0000
| end of split   2 /  3 | epoch  15 | time:  0.81s | valid loss  6.26 | valid ppl   521.50 | learning rate 20.0000
| end of split   3 /  3 | epoch  15 | time:  0.80s | valid loss  6.17 | valid ppl   479.22 | learning rate 20.0000
| end of split   1 /  3 | epoch  16 | time:  0.81s | valid loss  6.28 | valid ppl   535.76 | learning rate 20.0000
| end of split   2 /  3 | epoch  16 | time:  0.81s | valid loss  6.25 | valid ppl   519.27 | learning rate 20.0000
| end of split   3 /  3 | epoch  16 | time:  0.80s | valid loss  6.27 | valid ppl   526.48 | learning rate 20.0000
| end of split   1 /  3 | epoch  17 | time:  0.81s | valid loss  6.31 | valid ppl   551.01 | learning rate 20.0000
| end of split   2 /  3 | epoch  17 | time:  0.81s | valid loss  6.49 | valid ppl   660.03 | learning rate 20.0000
| end of split   3 /  3 | epoch  17 | time:  0.81s | valid loss  6.29 | valid ppl   538.44 | learning rate 5.0000
| end of split   1 /  3 | epoch  18 | time:  0.90s | valid loss  6.36 | valid ppl   581.08 | learning rate 5.0000
| end of split   2 /  3 | epoch  18 | time:  0.94s | valid loss  6.35 | valid ppl   572.43 | learning rate 5.0000
| end of split   3 /  3 | epoch  18 | time:  0.93s | valid loss  6.31 | valid ppl   549.45 | learning rate 5.0000
| end of split   1 /  3 | epoch  19 | time:  0.83s | valid loss  6.34 | valid ppl   567.84 | learning rate 5.0000
| end of split   2 /  3 | epoch  19 | time:  0.89s | valid loss  6.38 | valid ppl   592.41 | learning rate 5.0000
| end of split   3 /  3 | epoch  19 | time:  0.81s | valid loss  6.46 | valid ppl   640.26 | learning rate 5.0000
| end of split   1 /  3 | epoch  20 | time:  0.85s | valid loss  6.50 | valid ppl   665.16 | learning rate 5.0000
| end of split   2 /  3 | epoch  20 | time:  0.83s | valid loss  6.47 | valid ppl   647.43 | learning rate 5.0000
| end of split   3 /  3 | epoch  20 | time:  0.81s | valid loss  6.50 | valid ppl   666.86 | learning rate 5.0000
| end of split   1 /  3 | epoch  21 | time:  0.83s | valid loss  6.53 | valid ppl   682.34 | learning rate 5.0000
| end of split   2 /  3 | epoch  21 | time:  0.89s | valid loss  6.56 | valid ppl   703.37 | learning rate 1.2500
| end of split   3 /  3 | epoch  21 | time:  0.84s | valid loss  6.59 | valid ppl   729.74 | learning rate 1.2500
| end of split   1 /  3 | epoch  22 | time:  0.84s | valid loss  6.60 | valid ppl   737.11 | learning rate 1.2500
| end of split   2 /  3 | epoch  22 | time:  0.85s | valid loss  6.60 | valid ppl   738.22 | learning rate 1.2500
| end of split   3 /  3 | epoch  22 | time:  0.82s | valid loss  6.64 | valid ppl   761.98 | learning rate 1.2500
| end of split   1 /  3 | epoch  23 | time:  0.94s | valid loss  6.65 | valid ppl   774.10 | learning rate 1.2500
| end of split   2 /  3 | epoch  23 | time:  0.94s | valid loss  6.67 | valid ppl   790.06 | learning rate 1.2500
| end of split   3 /  3 | epoch  23 | time:  0.86s | valid loss  6.67 | valid ppl   791.03 | learning rate 1.2500
| end of split   1 /  3 | epoch  24 | time:  0.87s | valid loss  6.70 | valid ppl   812.90 | learning rate 1.2500
| end of split   2 /  3 | epoch  24 | time:  0.81s | valid loss  6.73 | valid ppl   833.24 | learning rate 1.2500
| end of split   3 /  3 | epoch  24 | time:  0.80s | valid loss  6.74 | valid ppl   842.15 | learning rate 1.2500
| end of split   1 /  3 | epoch  25 | time:  0.83s | valid loss  6.74 | valid ppl   846.13 | learning rate 0.3125
| end of split   2 /  3 | epoch  25 | time:  0.81s | valid loss  6.75 | valid ppl   854.33 | learning rate 0.3125
| end of split   3 /  3 | epoch  25 | time:  0.87s | valid loss  6.75 | valid ppl   851.05 | learning rate 0.3125
| end of split   1 /  3 | epoch  26 | time:  0.81s | valid loss  6.75 | valid ppl   855.17 | learning rate 0.3125
| end of split   2 /  3 | epoch  26 | time:  1.03s | valid loss  6.75 | valid ppl   853.98 | learning rate 0.3125
| end of split   3 /  3 | epoch  26 | time:  0.99s | valid loss  6.75 | valid ppl   857.95 | learning rate 0.3125
| end of split   1 /  3 | epoch  27 | time:  0.81s | valid loss  6.76 | valid ppl   862.01 | learning rate 0.3125
| end of split   2 /  3 | epoch  27 | time:  0.84s | valid loss  6.76 | valid ppl   863.22 | learning rate 0.3125
| end of split   3 /  3 | epoch  27 | time:  0.88s | valid loss  6.76 | valid ppl   865.08 | learning rate 0.3125
| end of split   1 /  3 | epoch  28 | time:  0.81s | valid loss  6.77 | valid ppl   872.16 | learning rate 0.3125
| end of split   2 /  3 | epoch  28 | time:  0.83s | valid loss  6.78 | valid ppl   876.15 | learning rate 0.3125
| end of split   3 /  3 | epoch  28 | time:  0.80s | valid loss  6.78 | valid ppl   876.82 | learning rate 0.0781
| end of split   1 /  3 | epoch  29 | time:  0.82s | valid loss  6.78 | valid ppl   878.02 | learning rate 0.0781
| end of split   2 /  3 | epoch  29 | time:  0.85s | valid loss  6.78 | valid ppl   877.67 | learning rate 0.0781
| end of split   3 /  3 | epoch  29 | time:  0.81s | valid loss  6.78 | valid ppl   878.50 | learning rate 0.0781
| end of split   1 /  3 | epoch  30 | time:  0.86s | valid loss  6.78 | valid ppl   878.62 | learning rate 0.0781
