TEST: valid loss  3.16 | valid ppl    23.54
TEST: valid loss  3.22 | valid ppl    25.11
| end of split   1 /  8 | epoch   1 | time:  1.74s | valid loss  3.88 | valid ppl    48.54 | learning rate 1.0000
TEST: valid loss  3.82 | valid ppl    45.38
| end of split   1 /  1 | epoch   1 | time:  1.01s | valid loss  2.06 | valid ppl     7.85 | learning rate 1.0000
| end of split   1 /  1 | epoch   2 | time:  1.31s | valid loss  2.03 | valid ppl     7.64 | learning rate 1.0000
| end of split   1 /  1 | epoch   3 | time:  1.10s | valid loss  2.02 | valid ppl     7.55 | learning rate 1.0000
| end of split   1 /  1 | epoch   4 | time:  1.01s | valid loss  2.03 | valid ppl     7.59 | learning rate 1.0000
| end of split   1 /  1 | epoch   5 | time:  1.48s | valid loss  2.00 | valid ppl     7.41 | learning rate 1.0000
| end of split   1 /  1 | epoch   6 | time:  1.04s | valid loss  2.00 | valid ppl     7.41 | learning rate 1.0000
| end of split   1 /  1 | epoch   7 | time:  1.27s | valid loss  2.00 | valid ppl     7.37 | learning rate 1.0000
| end of split   1 /  1 | epoch   8 | time:  1.09s | valid loss  1.98 | valid ppl     7.27 | learning rate 1.0000
| end of split   1 /  1 | epoch   9 | time:  0.96s | valid loss  1.99 | valid ppl     7.33 | learning rate 1.0000
| end of split   1 /  1 | epoch  10 | time:  0.93s | valid loss  1.99 | valid ppl     7.28 | learning rate 1.0000
| end of split   1 /  1 | epoch  11 | time:  0.91s | valid loss  1.99 | valid ppl     7.31 | learning rate 1.0000
| end of split   1 /  1 | epoch  12 | time:  0.93s | valid loss  1.98 | valid ppl     7.27 | learning rate 1.0000
| end of split   1 /  1 | epoch  13 | time:  1.05s | valid loss  1.98 | valid ppl     7.26 | learning rate 1.0000
| end of split   1 /  1 | epoch  14 | time:  0.98s | valid loss  1.98 | valid ppl     7.24 | learning rate 1.0000
| end of split   1 /  1 | epoch  15 | time:  1.13s | valid loss  1.97 | valid ppl     7.20 | learning rate 1.0000
| end of split   1 /  1 | epoch  16 | time:  1.01s | valid loss  1.97 | valid ppl     7.19 | learning rate 1.0000
| end of split   1 /  1 | epoch  17 | time:  0.90s | valid loss  1.97 | valid ppl     7.20 | learning rate 1.0000
| end of split   1 /  1 | epoch  18 | time:  0.99s | valid loss  1.97 | valid ppl     7.17 | learning rate 1.0000
| end of split   1 /  1 | epoch  19 | time:  0.91s | valid loss  1.97 | valid ppl     7.18 | learning rate 1.0000
| end of split   1 /  1 | epoch  20 | time:  0.86s | valid loss  1.98 | valid ppl     7.23 | learning rate 1.0000
| end of split   1 /  1 | epoch  21 | time:  1.21s | valid loss  1.97 | valid ppl     7.14 | learning rate 1.0000
| end of split   1 /  1 | epoch  22 | time:  1.01s | valid loss  1.96 | valid ppl     7.11 | learning rate 1.0000
| end of split   1 /  1 | epoch  23 | time:  1.00s | valid loss  1.97 | valid ppl     7.14 | learning rate 1.0000
| end of split   1 /  1 | epoch  24 | time:  0.95s | valid loss  1.97 | valid ppl     7.15 | learning rate 1.0000
| end of split   1 /  1 | epoch  25 | time:  1.28s | valid loss  1.96 | valid ppl     7.07 | learning rate 1.0000
| end of split   1 /  1 | epoch  26 | time:  0.93s | valid loss  1.97 | valid ppl     7.16 | learning rate 1.0000
| end of split   1 /  1 | epoch  27 | time:  0.91s | valid loss  1.96 | valid ppl     7.10 | learning rate 1.0000
| end of split   1 /  1 | epoch  28 | time:  0.96s | valid loss  1.96 | valid ppl     7.13 | learning rate 1.0000
| end of split   1 /  1 | epoch  29 | time:  1.01s | valid loss  1.96 | valid ppl     7.08 | learning rate 1.0000
| end of split   1 /  1 | epoch  30 | time:  0.92s | valid loss  1.97 | valid ppl     7.14 | learning rate 1.0000
| end of split   1 /  1 | epoch  31 | time:  0.91s | valid loss  1.96 | valid ppl     7.08 | learning rate 1.0000
| end of split   1 /  1 | epoch  32 | time:  0.93s | valid loss  1.96 | valid ppl     7.13 | learning rate 1.0000
| end of split   1 /  1 | epoch  33 | time:  0.98s | valid loss  1.96 | valid ppl     7.09 | learning rate 1.0000
| end of split   1 /  1 | epoch  34 | time:  0.95s | valid loss  1.97 | valid ppl     7.14 | learning rate 1.0000
| end of split   1 /  1 | epoch  35 | time:  0.95s | valid loss  1.97 | valid ppl     7.17 | learning rate 1.0000
| end of split   1 /  1 | epoch  36 | time:  1.01s | valid loss  1.97 | valid ppl     7.19 | learning rate 1.0000
| end of split   1 /  1 | epoch  37 | time:  0.93s | valid loss  1.96 | valid ppl     7.09 | learning rate 0.2500
| end of split   1 /  1 | epoch  38 | time:  1.28s | valid loss  1.95 | valid ppl     7.06 | learning rate 0.2500
| end of split   1 /  1 | epoch  39 | time:  0.93s | valid loss  1.96 | valid ppl     7.09 | learning rate 0.2500
| end of split   1 /  1 | epoch  40 | time:  0.95s | valid loss  1.96 | valid ppl     7.09 | learning rate 0.2500
| end of split   1 /  1 | epoch  41 | time:  0.92s | valid loss  1.96 | valid ppl     7.08 | learning rate 0.2500
| end of split   1 /  1 | epoch  42 | time:  0.86s | valid loss  1.96 | valid ppl     7.10 | learning rate 0.2500
| end of split   1 /  1 | epoch  43 | time:  1.04s | valid loss  1.96 | valid ppl     7.12 | learning rate 0.2500
| end of split   1 /  1 | epoch  44 | time:  0.98s | valid loss  1.96 | valid ppl     7.13 | learning rate 0.2500
| end of split   1 /  1 | epoch  45 | time:  0.94s | valid loss  1.96 | valid ppl     7.12 | learning rate 0.2500
| end of split   1 /  1 | epoch  46 | time:  0.94s | valid loss  1.97 | valid ppl     7.14 | learning rate 0.2500
| end of split   1 /  1 | epoch  47 | time:  0.93s | valid loss  1.96 | valid ppl     7.12 | learning rate 0.2500
| end of split   1 /  1 | epoch  48 | time:  0.93s | valid loss  1.97 | valid ppl     7.14 | learning rate 0.2500
| end of split   1 /  1 | epoch  49 | time:  0.98s | valid loss  1.97 | valid ppl     7.15 | learning rate 0.2500
| end of split   1 /  1 | epoch  50 | time:  0.93s | valid loss  1.97 | valid ppl     7.14 | learning rate 0.0625
| end of split   1 /  1 | epoch  51 | time:  1.38s | valid loss  1.97 | valid ppl     7.14 | learning rate 0.0625
| end of split   1 /  1 | epoch  52 | time:  1.22s | valid loss  1.97 | valid ppl     7.15 | learning rate 0.0625
| end of split   1 /  1 | epoch  53 | time:  0.94s | valid loss  1.97 | valid ppl     7.15 | learning rate 0.0625
| end of split   1 /  1 | epoch  54 | time:  1.03s | valid loss  1.97 | valid ppl     7.15 | learning rate 0.0625
| end of split   1 /  1 | epoch  55 | time:  1.05s | valid loss  1.97 | valid ppl     7.16 | learning rate 0.0625
| end of split   1 /  1 | epoch  56 | time:  1.29s | valid loss  1.97 | valid ppl     7.16 | learning rate 0.0625
| end of split   1 /  1 | epoch  57 | time:  1.00s | valid loss  1.97 | valid ppl     7.16 | learning rate 0.0625
| end of split   1 /  1 | epoch  58 | time:  0.96s | valid loss  1.97 | valid ppl     7.16 | learning rate 0.0625
| end of split   1 /  1 | epoch  59 | time:  1.00s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0625
| end of split   1 /  1 | epoch  60 | time:  0.94s | valid loss  1.97 | valid ppl     7.16 | learning rate 0.0625
| end of split   1 /  1 | epoch  61 | time:  0.99s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
| end of split   1 /  1 | epoch  62 | time:  1.13s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
| end of split   1 /  1 | epoch  63 | time:  0.98s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
| end of split   1 /  1 | epoch  64 | time:  0.93s | valid loss  1.97 | valid ppl     7.17 | learning rate 0.0156
