| end of split   1 /  7 | epoch   1 | time:  1.49s | valid loss  6.04 | valid ppl   420.45 | learning rate 20.0000
| end of split   1 /  7 | epoch   1 | time:  1.66s | valid loss  2.49 | valid ppl    12.11 | learning rate 20.0000
TEST: valid loss  2.27 | valid ppl     9.69
TEST: valid loss  8.10 | valid ppl  3291.17
| end of split   1 /  7 | epoch   1 | time:  1.04s | valid loss  6.87 | valid ppl   967.29 | learning rate 20.0000
| end of split   1 /  7 | epoch   1 | time:  0.79s | valid loss  6.44 | valid ppl   627.56 | learning rate 20.0000
| end of split   2 /  7 | epoch   1 | time:  0.75s | valid loss  6.02 | valid ppl   411.20 | learning rate 20.0000
| end of split   3 /  7 | epoch   1 | time:  0.60s | valid loss  6.35 | valid ppl   570.86 | learning rate 20.0000
| end of split   4 /  7 | epoch   1 | time:  1.18s | valid loss  5.98 | valid ppl   396.24 | learning rate 20.0000
| end of split   5 /  7 | epoch   1 | time:  0.59s | valid loss  6.32 | valid ppl   557.23 | learning rate 20.0000
| end of split   6 /  7 | epoch   1 | time:  0.59s | valid loss  6.73 | valid ppl   836.13 | learning rate 20.0000
| end of split   7 /  7 | epoch   1 | time:  0.60s | valid loss  6.27 | valid ppl   528.13 | learning rate 20.0000
| end of split   1 /  7 | epoch   2 | time:  0.61s | valid loss  6.10 | valid ppl   444.31 | learning rate 20.0000
| end of split   2 /  7 | epoch   2 | time:  0.61s | valid loss  5.99 | valid ppl   400.84 | learning rate 20.0000
| end of split   3 /  7 | epoch   2 | time:  0.59s | valid loss  6.33 | valid ppl   561.30 | learning rate 20.0000
| end of split   4 /  7 | epoch   2 | time:  0.79s | valid loss  5.95 | valid ppl   384.85 | learning rate 20.0000
| end of split   5 /  7 | epoch   2 | time:  0.60s | valid loss  6.04 | valid ppl   420.71 | learning rate 20.0000
| end of split   6 /  7 | epoch   2 | time:  0.60s | valid loss  6.01 | valid ppl   406.15 | learning rate 20.0000
| end of split   7 /  7 | epoch   2 | time:  0.60s | valid loss  6.03 | valid ppl   416.98 | learning rate 20.0000
| end of split   1 /  7 | epoch   3 | time:  0.61s | valid loss  6.11 | valid ppl   450.10 | learning rate 20.0000
| end of split   2 /  7 | epoch   3 | time:  0.60s | valid loss  6.18 | valid ppl   483.49 | learning rate 20.0000
| end of split   3 /  7 | epoch   3 | time:  0.59s | valid loss  6.18 | valid ppl   483.17 | learning rate 20.0000
| end of split   4 /  7 | epoch   3 | time:  0.59s | valid loss  6.90 | valid ppl   995.45 | learning rate 20.0000
| end of split   5 /  7 | epoch   3 | time:  0.58s | valid loss  6.46 | valid ppl   636.02 | learning rate 20.0000
| end of split   6 /  7 | epoch   3 | time:  0.58s | valid loss  6.77 | valid ppl   873.36 | learning rate 20.0000
| end of split   7 /  7 | epoch   3 | time:  0.58s | valid loss  7.47 | valid ppl  1762.62 | learning rate 20.0000
| end of split   1 /  7 | epoch   4 | time:  0.59s | valid loss  7.30 | valid ppl  1482.49 | learning rate 20.0000
| end of split   2 /  7 | epoch   4 | time:  0.58s | valid loss  7.02 | valid ppl  1117.40 | learning rate 5.0000
| end of split   3 /  7 | epoch   4 | time:  0.58s | valid loss  6.84 | valid ppl   936.38 | learning rate 5.0000
| end of split   4 /  7 | epoch   4 | time:  0.59s | valid loss  6.64 | valid ppl   762.95 | learning rate 5.0000
| end of split   5 /  7 | epoch   4 | time:  0.59s | valid loss  6.21 | valid ppl   497.97 | learning rate 5.0000
| end of split   6 /  7 | epoch   4 | time:  0.60s | valid loss  6.04 | valid ppl   418.69 | learning rate 5.0000
| end of split   7 /  7 | epoch   4 | time:  0.59s | valid loss  6.06 | valid ppl   429.48 | learning rate 5.0000
| end of split   1 /  7 | epoch   5 | time:  0.59s | valid loss  6.06 | valid ppl   429.51 | learning rate 5.0000
| end of split   2 /  7 | epoch   5 | time:  0.58s | valid loss  6.04 | valid ppl   420.27 | learning rate 5.0000
| end of split   3 /  7 | epoch   5 | time:  0.59s | valid loss  6.12 | valid ppl   455.51 | learning rate 5.0000
| end of split   4 /  7 | epoch   5 | time:  0.60s | valid loss  6.11 | valid ppl   451.04 | learning rate 5.0000
| end of split   5 /  7 | epoch   5 | time:  0.59s | valid loss  6.16 | valid ppl   473.82 | learning rate 5.0000
| end of split   6 /  7 | epoch   5 | time:  0.58s | valid loss  6.16 | valid ppl   471.78 | learning rate 1.2500
| end of split   7 /  7 | epoch   5 | time:  0.58s | valid loss  6.15 | valid ppl   469.68 | learning rate 1.2500
| end of split   1 /  7 | epoch   6 | time:  0.60s | valid loss  6.15 | valid ppl   471.05 | learning rate 1.2500
| end of split   2 /  7 | epoch   6 | time:  0.59s | valid loss  6.16 | valid ppl   472.99 | learning rate 1.2500
| end of split   3 /  7 | epoch   6 | time:  0.59s | valid loss  6.17 | valid ppl   478.70 | learning rate 1.2500
| end of split   4 /  7 | epoch   6 | time:  0.58s | valid loss  6.17 | valid ppl   478.41 | learning rate 1.2500
| end of split   5 /  7 | epoch   6 | time:  0.58s | valid loss  6.17 | valid ppl   478.93 | learning rate 1.2500
| end of split   6 /  7 | epoch   6 | time:  0.60s | valid loss  6.16 | valid ppl   472.84 | learning rate 1.2500
| end of split   7 /  7 | epoch   6 | time:  0.58s | valid loss  6.16 | valid ppl   472.20 | learning rate 1.2500
| end of split   1 /  7 | epoch   7 | time:  0.63s | valid loss  6.17 | valid ppl   476.57 | learning rate 1.2500
| end of split   2 /  7 | epoch   7 | time:  0.60s | valid loss  6.18 | valid ppl   483.47 | learning rate 1.2500
| end of split   3 /  7 | epoch   7 | time:  0.61s | valid loss  6.18 | valid ppl   483.58 | learning rate 0.3125
| end of split   4 /  7 | epoch   7 | time:  0.60s | valid loss  6.18 | valid ppl   483.54 | learning rate 0.3125
