TEST: valid loss  2.52 | valid ppl    12.40
TEST: valid loss  1.81 | valid ppl     6.12
| end of split   1 /  1 | epoch   1 | time:  0.60s | valid loss  1.03 | valid ppl     2.81 | learning rate 20.0000
| end of split   1 /  1 | epoch   2 | time:  0.58s | valid loss  1.09 | valid ppl     2.99 | learning rate 20.0000
| end of split   1 /  1 | epoch   3 | time:  0.53s | valid loss  1.07 | valid ppl     2.93 | learning rate 20.0000
| end of split   1 /  1 | epoch   4 | time:  0.53s | valid loss  1.12 | valid ppl     3.07 | learning rate 20.0000
| end of split   1 /  1 | epoch   5 | time:  0.53s | valid loss  1.16 | valid ppl     3.18 | learning rate 20.0000
| end of split   1 /  1 | epoch   6 | time:  0.54s | valid loss  1.17 | valid ppl     3.23 | learning rate 20.0000
| end of split   1 /  1 | epoch   7 | time:  0.54s | valid loss  1.18 | valid ppl     3.26 | learning rate 20.0000
| end of split   1 /  1 | epoch   8 | time:  0.54s | valid loss  1.19 | valid ppl     3.29 | learning rate 20.0000
| end of split   1 /  1 | epoch   9 | time:  0.64s | valid loss  1.23 | valid ppl     3.43 | learning rate 20.0000
| end of split   1 /  1 | epoch  10 | time:  0.55s | valid loss  1.28 | valid ppl     3.61 | learning rate 20.0000
| end of split   1 /  1 | epoch  11 | time:  0.58s | valid loss  1.28 | valid ppl     3.58 | learning rate 20.0000
| end of split   1 /  1 | epoch  12 | time:  0.64s | valid loss  1.36 | valid ppl     3.88 | learning rate 20.0000
| end of split   1 /  1 | epoch  13 | time:  0.59s | valid loss  1.24 | valid ppl     3.47 | learning rate 5.0000
| end of split   1 /  1 | epoch  14 | time:  0.63s | valid loss  1.25 | valid ppl     3.51 | learning rate 5.0000
| end of split   1 /  1 | epoch  15 | time:  0.59s | valid loss  1.25 | valid ppl     3.48 | learning rate 5.0000
| end of split   1 /  1 | epoch  16 | time:  0.60s | valid loss  1.25 | valid ppl     3.50 | learning rate 5.0000
| end of split   1 /  1 | epoch  17 | time:  0.57s | valid loss  1.27 | valid ppl     3.58 | learning rate 5.0000
| end of split   1 /  1 | epoch  18 | time:  0.63s | valid loss  1.28 | valid ppl     3.58 | learning rate 5.0000
| end of split   1 /  1 | epoch  19 | time:  0.63s | valid loss  1.28 | valid ppl     3.61 | learning rate 5.0000
| end of split   1 /  1 | epoch  20 | time:  0.54s | valid loss  1.28 | valid ppl     3.59 | learning rate 5.0000
| end of split   1 /  1 | epoch  21 | time:  0.53s | valid loss  1.30 | valid ppl     3.67 | learning rate 5.0000
| end of split   1 /  1 | epoch  22 | time:  0.54s | valid loss  1.30 | valid ppl     3.66 | learning rate 5.0000
| end of split   1 /  1 | epoch  23 | time:  0.63s | valid loss  1.30 | valid ppl     3.68 | learning rate 5.0000
| end of split   1 /  1 | epoch  24 | time:  0.63s | valid loss  1.30 | valid ppl     3.67 | learning rate 1.2500
