TEST: valid loss  2.38 | valid ppl    10.85
| end of split   1 /  1 | epoch   1 | time:  1.13s | valid loss  4.16 | valid ppl    63.87 | learning rate 20.0000
TEST: valid loss  4.19 | valid ppl    65.85
| end of split   1 /  1 | epoch   1 | time:  0.79s | valid loss  3.62 | valid ppl    37.33 | learning rate 20.0000
| end of split   1 /  1 | epoch   2 | time:  0.61s | valid loss  3.66 | valid ppl    38.81 | learning rate 20.0000
| end of split   1 /  1 | epoch   3 | time:  0.61s | valid loss  3.76 | valid ppl    42.86 | learning rate 20.0000
| end of split   1 /  1 | epoch   4 | time:  0.61s | valid loss  3.75 | valid ppl    42.36 | learning rate 20.0000
| end of split   1 /  1 | epoch   5 | time:  0.61s | valid loss  3.89 | valid ppl    48.91 | learning rate 20.0000
| end of split   1 /  1 | epoch   6 | time:  0.61s | valid loss  3.99 | valid ppl    54.14 | learning rate 20.0000
| end of split   1 /  1 | epoch   7 | time:  0.61s | valid loss  4.00 | valid ppl    54.76 | learning rate 20.0000
| end of split   1 /  1 | epoch   8 | time:  0.66s | valid loss  4.19 | valid ppl    66.30 | learning rate 20.0000
| end of split   1 /  1 | epoch   9 | time:  0.61s | valid loss  4.23 | valid ppl    68.91 | learning rate 20.0000
| end of split   1 /  1 | epoch  10 | time:  0.62s | valid loss  4.21 | valid ppl    67.44 | learning rate 20.0000
| end of split   1 /  1 | epoch  11 | time:  0.61s | valid loss  4.35 | valid ppl    77.10 | learning rate 20.0000
| end of split   1 /  1 | epoch  12 | time:  0.61s | valid loss  4.26 | valid ppl    70.94 | learning rate 20.0000
| end of split   1 /  1 | epoch  13 | time:  0.61s | valid loss  4.29 | valid ppl    72.84 | learning rate 5.0000
| end of split   1 /  1 | epoch  14 | time:  0.61s | valid loss  4.35 | valid ppl    77.85 | learning rate 5.0000
| end of split   1 /  1 | epoch  15 | time:  0.61s | valid loss  4.38 | valid ppl    80.08 | learning rate 5.0000
| end of split   1 /  1 | epoch  16 | time:  0.61s | valid loss  4.40 | valid ppl    81.49 | learning rate 5.0000
| end of split   1 /  1 | epoch  17 | time:  0.61s | valid loss  4.42 | valid ppl    83.25 | learning rate 5.0000
| end of split   1 /  1 | epoch  18 | time:  0.61s | valid loss  4.41 | valid ppl    82.33 | learning rate 5.0000
| end of split   1 /  1 | epoch  19 | time:  0.61s | valid loss  4.48 | valid ppl    88.29 | learning rate 5.0000
| end of split   1 /  1 | epoch  20 | time:  0.63s | valid loss  4.46 | valid ppl    86.74 | learning rate 5.0000
| end of split   1 /  1 | epoch  21 | time:  0.65s | valid loss  4.47 | valid ppl    87.36 | learning rate 5.0000
| end of split   1 /  1 | epoch  22 | time:  0.62s | valid loss  4.50 | valid ppl    89.76 | learning rate 5.0000
| end of split   1 /  1 | epoch  23 | time:  0.62s | valid loss  4.52 | valid ppl    92.20 | learning rate 5.0000
| end of split   1 /  1 | epoch  24 | time:  0.63s | valid loss  4.52 | valid ppl    91.77 | learning rate 1.2500
| end of split   1 /  1 | epoch  25 | time:  0.63s | valid loss  4.53 | valid ppl    92.95 | learning rate 1.2500
| end of split   1 /  1 | epoch  26 | time:  0.61s | valid loss  4.54 | valid ppl    93.64 | learning rate 1.2500
| end of split   1 /  1 | epoch  27 | time:  0.61s | valid loss  4.54 | valid ppl    93.60 | learning rate 1.2500
| end of split   1 /  1 | epoch  28 | time:  0.61s | valid loss  4.55 | valid ppl    94.90 | learning rate 1.2500
| end of split   1 /  1 | epoch  29 | time:  0.63s | valid loss  4.55 | valid ppl    94.75 | learning rate 1.2500
| end of split   1 /  1 | epoch  30 | time:  0.69s | valid loss  4.55 | valid ppl    94.55 | learning rate 1.2500
| end of split   1 /  1 | epoch  31 | time:  0.63s | valid loss  4.56 | valid ppl    95.90 | learning rate 1.2500
| end of split   1 /  1 | epoch  32 | time:  0.61s | valid loss  4.57 | valid ppl    96.81 | learning rate 1.2500
| end of split   1 /  1 | epoch  33 | time:  0.70s | valid loss  4.57 | valid ppl    97.02 | learning rate 1.2500
| end of split   1 /  1 | epoch  34 | time:  0.63s | valid loss  4.58 | valid ppl    97.16 | learning rate 1.2500
| end of split   1 /  1 | epoch  35 | time:  0.62s | valid loss  4.58 | valid ppl    97.37 | learning rate 0.3125
| end of split   1 /  1 | epoch  36 | time:  0.62s | valid loss  4.58 | valid ppl    97.43 | learning rate 0.3125
| end of split   1 /  1 | epoch  37 | time:  0.65s | valid loss  4.58 | valid ppl    97.45 | learning rate 0.3125
| end of split   1 /  1 | epoch  38 | time:  0.62s | valid loss  4.58 | valid ppl    97.38 | learning rate 0.3125
| end of split   1 /  1 | epoch  39 | time:  0.60s | valid loss  4.58 | valid ppl    97.40 | learning rate 0.3125
| end of split   1 /  1 | epoch  40 | time:  0.62s | valid loss  4.58 | valid ppl    97.25 | learning rate 0.3125
| end of split   1 /  1 | epoch  41 | time:  0.62s | valid loss  4.58 | valid ppl    97.35 | learning rate 0.3125
| end of split   1 /  1 | epoch  42 | time:  1.50s | valid loss  4.58 | valid ppl    97.25 | learning rate 0.3125
| end of split   1 /  1 | epoch  43 | time:  0.61s | valid loss  4.58 | valid ppl    97.11 | learning rate 0.3125
| end of split   1 /  1 | epoch  44 | time:  0.60s | valid loss  4.58 | valid ppl    97.38 | learning rate 0.3125
| end of split   1 /  1 | epoch  45 | time:  0.60s | valid loss  4.58 | valid ppl    97.44 | learning rate 0.3125
| end of split   1 /  1 | epoch  46 | time:  0.60s | valid loss  4.58 | valid ppl    97.43 | learning rate 0.0781
| end of split   1 /  1 | epoch  47 | time:  0.60s | valid loss  4.58 | valid ppl    97.50 | learning rate 0.0781
| end of split   1 /  1 | epoch  48 | time:  0.61s | valid loss  4.58 | valid ppl    97.53 | learning rate 0.0781
| end of split   1 /  1 | epoch  49 | time:  0.60s | valid loss  4.58 | valid ppl    97.54 | learning rate 0.0781
| end of split   1 /  1 | epoch  50 | time:  0.60s | valid loss  4.58 | valid ppl    97.58 | learning rate 0.0781
| end of split   1 /  1 | epoch  51 | time:  0.61s | valid loss  4.58 | valid ppl    97.58 | learning rate 0.0781
