TEST: valid loss  2.05 | valid ppl     7.81
TEST: valid loss  4.14 | valid ppl    62.72
| end of split   1 /  1 | epoch   1 | time:  0.80s | valid loss  2.14 | valid ppl     8.47 | learning rate 20.0000
| end of split   1 /  1 | epoch   2 | time:  0.66s | valid loss  2.52 | valid ppl    12.47 | learning rate 20.0000
| end of split   1 /  1 | epoch   3 | time:  0.66s | valid loss  2.23 | valid ppl     9.27 | learning rate 20.0000
| end of split   1 /  1 | epoch   4 | time:  0.66s | valid loss  2.17 | valid ppl     8.75 | learning rate 20.0000
| end of split   1 /  1 | epoch   5 | time:  0.82s | valid loss  1.68 | valid ppl     5.36 | learning rate 20.0000
| end of split   1 /  1 | epoch   6 | time:  0.66s | valid loss  1.87 | valid ppl     6.51 | learning rate 20.0000
| end of split   1 /  1 | epoch   7 | time:  1.08s | valid loss  1.51 | valid ppl     4.52 | learning rate 20.0000
| end of split   1 /  1 | epoch   8 | time:  0.66s | valid loss  2.09 | valid ppl     8.07 | learning rate 20.0000
| end of split   1 /  1 | epoch   9 | time:  0.85s | valid loss  1.50 | valid ppl     4.48 | learning rate 20.0000
| end of split   1 /  1 | epoch  10 | time:  0.66s | valid loss  2.35 | valid ppl    10.45 | learning rate 20.0000
| end of split   1 /  1 | epoch  11 | time:  0.81s | valid loss  1.42 | valid ppl     4.13 | learning rate 20.0000
| end of split   1 /  1 | epoch  12 | time:  0.66s | valid loss  2.23 | valid ppl     9.29 | learning rate 20.0000
| end of split   1 /  1 | epoch  13 | time:  0.66s | valid loss  1.51 | valid ppl     4.53 | learning rate 20.0000
| end of split   1 /  1 | epoch  14 | time:  0.66s | valid loss  1.86 | valid ppl     6.40 | learning rate 20.0000
| end of split   1 /  1 | epoch  15 | time:  0.66s | valid loss  1.42 | valid ppl     4.15 | learning rate 20.0000
| end of split   1 /  1 | epoch  16 | time:  0.77s | valid loss  1.55 | valid ppl     4.71 | learning rate 20.0000
| end of split   1 /  1 | epoch  17 | time:  0.67s | valid loss  2.09 | valid ppl     8.06 | learning rate 20.0000
| end of split   1 /  1 | epoch  18 | time:  0.69s | valid loss  1.47 | valid ppl     4.36 | learning rate 20.0000
| end of split   1 /  1 | epoch  19 | time:  0.66s | valid loss  1.95 | valid ppl     7.04 | learning rate 20.0000
| end of split   1 /  1 | epoch  20 | time:  0.68s | valid loss  1.57 | valid ppl     4.81 | learning rate 20.0000
| end of split   1 /  1 | epoch  21 | time:  0.73s | valid loss  2.13 | valid ppl     8.42 | learning rate 20.0000
| end of split   1 /  1 | epoch  22 | time:  1.28s | valid loss  1.45 | valid ppl     4.26 | learning rate 20.0000
| end of split   1 /  1 | epoch  23 | time:  0.94s | valid loss  1.24 | valid ppl     3.44 | learning rate 5.0000
| end of split   1 /  1 | epoch  24 | time:  1.14s | valid loss  1.23 | valid ppl     3.42 | learning rate 5.0000
| end of split   1 /  1 | epoch  25 | time:  0.73s | valid loss  1.23 | valid ppl     3.43 | learning rate 5.0000
| end of split   1 /  1 | epoch  26 | time:  0.69s | valid loss  1.23 | valid ppl     3.43 | learning rate 5.0000
| end of split   1 /  1 | epoch  27 | time:  0.69s | valid loss  1.24 | valid ppl     3.45 | learning rate 5.0000
| end of split   1 /  1 | epoch  28 | time:  0.89s | valid loss  1.23 | valid ppl     3.41 | learning rate 5.0000
| end of split   1 /  1 | epoch  29 | time:  0.69s | valid loss  1.24 | valid ppl     3.46 | learning rate 5.0000
| end of split   1 /  1 | epoch  30 | time:  1.00s | valid loss  1.22 | valid ppl     3.40 | learning rate 5.0000
| end of split   1 /  1 | epoch  31 | time:  0.75s | valid loss  1.24 | valid ppl     3.45 | learning rate 5.0000
| end of split   1 /  1 | epoch  32 | time:  0.69s | valid loss  1.23 | valid ppl     3.41 | learning rate 5.0000
| end of split   1 /  1 | epoch  33 | time:  0.71s | valid loss  1.24 | valid ppl     3.45 | learning rate 5.0000
| end of split   1 /  1 | epoch  34 | time:  0.71s | valid loss  1.23 | valid ppl     3.42 | learning rate 5.0000
| end of split   1 /  1 | epoch  35 | time:  0.77s | valid loss  1.23 | valid ppl     3.41 | learning rate 5.0000
| end of split   1 /  1 | epoch  36 | time:  0.70s | valid loss  1.23 | valid ppl     3.43 | learning rate 5.0000
| end of split   1 /  1 | epoch  37 | time:  0.70s | valid loss  1.24 | valid ppl     3.45 | learning rate 5.0000
| end of split   1 /  1 | epoch  38 | time:  0.75s | valid loss  1.26 | valid ppl     3.52 | learning rate 5.0000
| end of split   1 /  1 | epoch  39 | time:  1.73s | valid loss  1.23 | valid ppl     3.41 | learning rate 5.0000
| end of split   1 /  1 | epoch  40 | time:  1.47s | valid loss  1.30 | valid ppl     3.68 | learning rate 5.0000
| end of split   1 /  1 | epoch  41 | time:  1.66s | valid loss  1.23 | valid ppl     3.43 | learning rate 5.0000
| end of split   1 /  1 | epoch  42 | time:  1.97s | valid loss  1.22 | valid ppl     3.38 | learning rate 1.2500
| end of split   1 /  1 | epoch  43 | time:  1.84s | valid loss  1.22 | valid ppl     3.38 | learning rate 1.2500
| end of split   1 /  1 | epoch  44 | time:  1.84s | valid loss  1.22 | valid ppl     3.40 | learning rate 1.2500
| end of split   1 /  1 | epoch  45 | time:  2.42s | valid loss  1.22 | valid ppl     3.38 | learning rate 1.2500
| end of split   1 /  1 | epoch  46 | time:  2.12s | valid loss  1.22 | valid ppl     3.39 | learning rate 1.2500
| end of split   1 /  1 | epoch  47 | time:  2.10s | valid loss  1.23 | valid ppl     3.41 | learning rate 1.2500
| end of split   1 /  1 | epoch  48 | time:  1.28s | valid loss  1.22 | valid ppl     3.40 | learning rate 1.2500
| end of split   1 /  1 | epoch  49 | time:  0.89s | valid loss  1.22 | valid ppl     3.38 | learning rate 1.2500
| end of split   1 /  1 | epoch  50 | time:  0.90s | valid loss  1.22 | valid ppl     3.40 | learning rate 1.2500
| end of split   1 /  1 | epoch  51 | time:  1.24s | valid loss  1.23 | valid ppl     3.43 | learning rate 1.2500
| end of split   1 /  1 | epoch  52 | time:  1.97s | valid loss  1.22 | valid ppl     3.39 | learning rate 1.2500
| end of split   1 /  1 | epoch  53 | time:  1.33s | valid loss  1.22 | valid ppl     3.38 | learning rate 1.2500
| end of split   1 /  1 | epoch  54 | time:  2.06s | valid loss  1.22 | valid ppl     3.40 | learning rate 1.2500
| end of split   1 /  1 | epoch  55 | time:  1.99s | valid loss  1.22 | valid ppl     3.39 | learning rate 1.2500
| end of split   1 /  1 | epoch  56 | time:  1.58s | valid loss  1.23 | valid ppl     3.41 | learning rate 1.2500
| end of split   1 /  1 | epoch  57 | time:  1.79s | valid loss  1.22 | valid ppl     3.38 | learning rate 0.3125
| end of split   1 /  1 | epoch  58 | time:  1.76s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  59 | time:  1.54s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  60 | time:  1.89s | valid loss  1.22 | valid ppl     3.38 | learning rate 0.3125
| end of split   1 /  1 | epoch  61 | time:  1.45s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  62 | time:  0.96s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  63 | time:  0.97s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  64 | time:  1.54s | valid loss  1.22 | valid ppl     3.38 | learning rate 0.3125
| end of split   1 /  1 | epoch  65 | time:  1.89s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  66 | time:  1.67s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  67 | time:  1.65s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.3125
| end of split   1 /  1 | epoch  68 | time:  1.84s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  69 | time:  1.76s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  70 | time:  1.86s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  71 | time:  1.89s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  72 | time:  1.68s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
| end of split   1 /  1 | epoch  73 | time:  1.68s | valid loss  1.22 | valid ppl     3.39 | learning rate 0.0781
