| end of split   1 /  1 | epoch   1 | time: 10.25s | valid loss  2.94 | valid ppl    18.98 | learning rate 20.0000
| end of split   1 /  1 | epoch   2 | time:  8.11s | valid loss  2.75 | valid ppl    15.57 | learning rate 20.0000
| end of split   1 /  1 | epoch   3 | time:  5.91s | valid loss  2.38 | valid ppl    10.77 | learning rate 20.0000
| end of split   1 /  1 | epoch   4 | time:  4.77s | valid loss  2.32 | valid ppl    10.16 | learning rate 20.0000
| end of split   1 /  1 | epoch   5 | time:  1.92s | valid loss  2.35 | valid ppl    10.45 | learning rate 20.0000
| end of split   1 /  1 | epoch   6 | time:  4.71s | valid loss  2.13 | valid ppl     8.41 | learning rate 20.0000
| end of split   1 /  1 | epoch   7 | time:  1.77s | valid loss  2.20 | valid ppl     9.03 | learning rate 20.0000
| end of split   1 /  1 | epoch   8 | time:  4.26s | valid loss  2.11 | valid ppl     8.23 | learning rate 20.0000
| end of split   1 /  1 | epoch   9 | time:  4.46s | valid loss  2.09 | valid ppl     8.09 | learning rate 20.0000
| end of split   1 /  1 | epoch  10 | time:  1.78s | valid loss  2.13 | valid ppl     8.39 | learning rate 20.0000
| end of split   1 /  1 | epoch  11 | time:  1.77s | valid loss  2.12 | valid ppl     8.29 | learning rate 20.0000
| end of split   1 /  1 | epoch  12 | time:  1.76s | valid loss  2.15 | valid ppl     8.55 | learning rate 20.0000
| end of split   1 /  1 | epoch  13 | time:  8.16s | valid loss  2.09 | valid ppl     8.07 | learning rate 20.0000
| end of split   1 /  1 | epoch  14 | time:  1.76s | valid loss  2.22 | valid ppl     9.19 | learning rate 20.0000
| end of split   1 /  1 | epoch  15 | time:  1.76s | valid loss  2.22 | valid ppl     9.21 | learning rate 20.0000
| end of split   1 /  1 | epoch  16 | time:  1.77s | valid loss  2.24 | valid ppl     9.36 | learning rate 20.0000
| end of split   1 /  1 | epoch  17 | time:  1.78s | valid loss  2.20 | valid ppl     9.06 | learning rate 20.0000
| end of split   1 /  1 | epoch  18 | time:  1.78s | valid loss  2.26 | valid ppl     9.62 | learning rate 20.0000
| end of split   1 /  1 | epoch  19 | time:  1.79s | valid loss  2.28 | valid ppl     9.80 | learning rate 20.0000
| end of split   1 /  1 | epoch  20 | time:  1.80s | valid loss  2.27 | valid ppl     9.69 | learning rate 20.0000
| end of split   1 /  1 | epoch  21 | time:  1.76s | valid loss  2.37 | valid ppl    10.66 | learning rate 20.0000
| end of split   1 /  1 | epoch  22 | time:  1.77s | valid loss  2.39 | valid ppl    10.88 | learning rate 20.0000
| end of split   1 /  1 | epoch  23 | time:  1.77s | valid loss  2.41 | valid ppl    11.18 | learning rate 20.0000
| end of split   1 /  1 | epoch  24 | time:  1.79s | valid loss  2.41 | valid ppl    11.15 | learning rate 20.0000
| end of split   1 /  1 | epoch  25 | time:  1.79s | valid loss  2.35 | valid ppl    10.46 | learning rate 5.0000
| end of split   1 /  1 | epoch  26 | time:  1.78s | valid loss  2.35 | valid ppl    10.49 | learning rate 5.0000
| end of split   1 /  1 | epoch  27 | time:  1.78s | valid loss  2.37 | valid ppl    10.71 | learning rate 5.0000
| end of split   1 /  1 | epoch  28 | time:  1.91s | valid loss  2.39 | valid ppl    10.89 | learning rate 5.0000
| end of split   1 /  1 | epoch  29 | time:  1.80s | valid loss  2.38 | valid ppl    10.82 | learning rate 5.0000
| end of split   1 /  1 | epoch  30 | time:  1.77s | valid loss  2.40 | valid ppl    11.01 | learning rate 5.0000
| end of split   1 /  1 | epoch  31 | time:  1.76s | valid loss  2.41 | valid ppl    11.09 | learning rate 5.0000
