| end of split   1 /  1 | epoch   1 | time:  0.85s | valid loss  1.95 | valid ppl     7.06 | learning rate 1.0000
| end of split   1 /  1 | epoch   2 | time:  0.92s | valid loss  1.89 | valid ppl     6.60 | learning rate 1.0000
| end of split   1 /  1 | epoch   3 | time:  0.91s | valid loss  1.87 | valid ppl     6.51 | learning rate 1.0000
| end of split   1 /  1 | epoch   4 | time:  0.92s | valid loss  1.86 | valid ppl     6.41 | learning rate 1.0000
| end of split   1 /  1 | epoch   5 | time:  0.92s | valid loss  1.85 | valid ppl     6.38 | learning rate 1.0000
| end of split   1 /  1 | epoch   6 | time:  0.88s | valid loss  1.85 | valid ppl     6.33 | learning rate 1.0000
| end of split   1 /  1 | epoch   7 | time:  1.02s | valid loss  1.82 | valid ppl     6.18 | learning rate 1.0000
| end of split   1 /  1 | epoch   8 | time:  0.84s | valid loss  1.82 | valid ppl     6.20 | learning rate 1.0000
| end of split   1 /  1 | epoch   9 | time:  0.92s | valid loss  1.83 | valid ppl     6.23 | learning rate 1.0000
| end of split   1 /  1 | epoch  10 | time:  0.88s | valid loss  1.82 | valid ppl     6.15 | learning rate 1.0000
| end of split   1 /  1 | epoch  11 | time:  1.00s | valid loss  1.79 | valid ppl     6.00 | learning rate 1.0000
| end of split   1 /  1 | epoch  12 | time:  0.84s | valid loss  1.80 | valid ppl     6.03 | learning rate 1.0000
| end of split   1 /  1 | epoch  13 | time:  0.83s | valid loss  1.80 | valid ppl     6.03 | learning rate 1.0000
| end of split   1 /  1 | epoch  14 | time:  0.74s | valid loss  1.80 | valid ppl     6.02 | learning rate 1.0000
| end of split   1 /  1 | epoch  15 | time:  0.91s | valid loss  1.79 | valid ppl     6.01 | learning rate 1.0000
| end of split   1 /  1 | epoch  16 | time:  1.05s | valid loss  1.77 | valid ppl     5.88 | learning rate 1.0000
| end of split   1 /  1 | epoch  17 | time:  0.84s | valid loss  1.78 | valid ppl     5.91 | learning rate 1.0000
| end of split   1 /  1 | epoch  18 | time:  0.83s | valid loss  1.81 | valid ppl     6.08 | learning rate 1.0000
| end of split   1 /  1 | epoch  19 | time:  0.79s | valid loss  1.77 | valid ppl     5.88 | learning rate 1.0000
| end of split   1 /  1 | epoch  20 | time:  0.82s | valid loss  1.78 | valid ppl     5.92 | learning rate 1.0000
| end of split   1 /  1 | epoch  21 | time:  0.80s | valid loss  1.78 | valid ppl     5.92 | learning rate 1.0000
| end of split   1 /  1 | epoch  22 | time:  0.80s | valid loss  1.79 | valid ppl     6.00 | learning rate 1.0000
