| end of split   1 /  1 | epoch   1 | time:  0.87s | valid loss  1.73 | valid ppl     5.67 | learning rate 1.0000
| end of split   1 /  1 | epoch   2 | time:  0.92s | valid loss  1.65 | valid ppl     5.23 | learning rate 1.0000
| end of split   1 /  1 | epoch   3 | time:  0.97s | valid loss  1.64 | valid ppl     5.16 | learning rate 1.0000
| end of split   1 /  1 | epoch   4 | time:  0.91s | valid loss  1.61 | valid ppl     4.99 | learning rate 1.0000
| end of split   1 /  1 | epoch   5 | time:  0.85s | valid loss  1.62 | valid ppl     5.04 | learning rate 1.0000
| end of split   1 /  1 | epoch   6 | time:  0.91s | valid loss  1.58 | valid ppl     4.85 | learning rate 1.0000
| end of split   1 /  1 | epoch   7 | time:  0.93s | valid loss  1.58 | valid ppl     4.86 | learning rate 1.0000
| end of split   1 /  1 | epoch   8 | time:  1.01s | valid loss  1.59 | valid ppl     4.88 | learning rate 1.0000
| end of split   1 /  1 | epoch   9 | time:  0.87s | valid loss  1.57 | valid ppl     4.83 | learning rate 1.0000
| end of split   1 /  1 | epoch  10 | time:  0.77s | valid loss  1.57 | valid ppl     4.83 | learning rate 1.0000
| end of split   1 /  1 | epoch  11 | time:  1.18s | valid loss  1.57 | valid ppl     4.78 | learning rate 1.0000
| end of split   1 /  1 | epoch  12 | time:  1.79s | valid loss  1.56 | valid ppl     4.78 | learning rate 1.0000
| end of split   1 /  1 | epoch  13 | time:  0.86s | valid loss  1.57 | valid ppl     4.80 | learning rate 1.0000
| end of split   1 /  1 | epoch  14 | time:  1.01s | valid loss  1.57 | valid ppl     4.79 | learning rate 1.0000
| end of split   1 /  1 | epoch  15 | time:  0.96s | valid loss  1.55 | valid ppl     4.71 | learning rate 1.0000
| end of split   1 /  1 | epoch  16 | time:  1.01s | valid loss  1.54 | valid ppl     4.67 | learning rate 1.0000
| end of split   1 /  1 | epoch  17 | time:  0.83s | valid loss  1.55 | valid ppl     4.69 | learning rate 1.0000
| end of split   1 /  1 | epoch  18 | time:  0.76s | valid loss  1.54 | valid ppl     4.68 | learning rate 1.0000
| end of split   1 /  1 | epoch  19 | time:  0.94s | valid loss  1.57 | valid ppl     4.80 | learning rate 1.0000
| end of split   1 /  1 | epoch  20 | time:  0.88s | valid loss  1.56 | valid ppl     4.75 | learning rate 1.0000
| end of split   1 /  1 | epoch  21 | time:  0.80s | valid loss  1.55 | valid ppl     4.72 | learning rate 1.0000
| end of split   1 /  1 | epoch  22 | time:  0.86s | valid loss  1.54 | valid ppl     4.67 | learning rate 1.0000
| end of split   1 /  1 | epoch  23 | time:  0.91s | valid loss  1.54 | valid ppl     4.67 | learning rate 1.0000
| end of split   1 /  1 | epoch  24 | time:  1.02s | valid loss  1.58 | valid ppl     4.85 | learning rate 1.0000
| end of split   1 /  1 | epoch  25 | time:  0.88s | valid loss  1.57 | valid ppl     4.80 | learning rate 1.0000
| end of split   1 /  1 | epoch  26 | time:  0.81s | valid loss  1.55 | valid ppl     4.69 | learning rate 1.0000
