| end of split   1 /  1 | epoch   1 | time:  4.07s | valid loss  3.35 | valid ppl    28.60 | learning rate 1.0000
TEST: valid loss  3.30 | valid ppl    27.17
| end of split   1 /  1 | epoch   1 | time:  0.65s | valid loss  3.55 | valid ppl    34.76 | learning rate 1.0000
| end of split   1 /  1 | epoch   2 | time:  0.65s | valid loss  3.28 | valid ppl    26.57 | learning rate 1.0000
| end of split   1 /  1 | epoch   3 | time:  0.87s | valid loss  3.26 | valid ppl    25.99 | learning rate 1.0000
| end of split   1 /  1 | epoch   4 | time:  0.67s | valid loss  3.24 | valid ppl    25.52 | learning rate 1.0000
| end of split   1 /  1 | epoch   5 | time:  0.65s | valid loss  3.24 | valid ppl    25.50 | learning rate 1.0000
| end of split   1 /  1 | epoch   6 | time:  0.63s | valid loss  3.24 | valid ppl    25.47 | learning rate 1.0000
| end of split   1 /  1 | epoch   7 | time:  0.66s | valid loss  3.23 | valid ppl    25.37 | learning rate 1.0000
| end of split   1 /  1 | epoch   8 | time:  0.63s | valid loss  3.22 | valid ppl    25.11 | learning rate 1.0000
| end of split   1 /  1 | epoch   9 | time:  0.67s | valid loss  3.22 | valid ppl    24.95 | learning rate 1.0000
| end of split   1 /  1 | epoch  10 | time:  0.61s | valid loss  3.21 | valid ppl    24.69 | learning rate 1.0000
| end of split   1 /  1 | epoch  11 | time:  0.47s | valid loss  3.19 | valid ppl    24.21 | learning rate 1.0000
| end of split   1 /  1 | epoch  12 | time:  0.58s | valid loss  3.16 | valid ppl    23.66 | learning rate 1.0000
| end of split   1 /  1 | epoch  13 | time:  0.50s | valid loss  3.12 | valid ppl    22.72 | learning rate 1.0000
TEST: valid loss  3.11 | valid ppl    22.31
| end of split   1 /  1 | epoch   1 | time:  1.10s | valid loss  3.62 | valid ppl    37.30 | learning rate 1.0000
| end of split   1 /  1 | epoch   2 | time:  0.72s | valid loss  3.31 | valid ppl    27.46 | learning rate 1.0000
| end of split   1 /  1 | epoch   3 | time:  1.87s | valid loss  3.28 | valid ppl    26.66 | learning rate 1.0000
