EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	19:57:20	0	1.0000	8149.202255249023	0.1398	0.1398	0.1398	0.1398	173.36794662475586	0.1252	0.1252	0.1252	0.1252	170.32086257934571	0.1403	0.1403	0.1403	0.1403
2	19:57:35	1	1.0000	7553.467712402344	0.1108	0.1108	0.1108	0.1108	152.02317810058594	0.1081	0.1081	0.1081	0.1081	150.00260314941406	0.1091	0.1091	0.1091	0.1091
3	19:57:40	0	1.0000	6680.5244140625	0.2487	0.2487	0.2487	0.2487	112.57981185913086	0.2151	0.2151	0.2151	0.2151	109.5302791595459	0.2338	0.2338	0.2338	0.2338
4	19:57:54	0	1.0000	5861.037422180176	0.3161	0.3161	0.3161	0.3161	149.1186180114746	0.3086	0.3086	0.3086	0.3086	145.40412864685058	0.3094	0.3094	0.3094	0.3094
5	19:58:05	1	1.0000	5409.4968338012695	0.2626	0.2626	0.2626	0.2626	81.38042337894439	0.2503	0.2503	0.2503	0.2503	80.34975978136063	0.2602	0.2602	0.2602	0.2602
6	19:58:09	0	1.0000	3904.938331604004	0.3409	0.3409	0.3409	0.3409	74.35200236141682	0.3123	0.3123	0.3123	0.3123	71.31306672096252	0.3249	0.3249	0.3249	0.3249
7	19:58:17	1	1.0000	3693.2610626220703	0.306	0.306	0.306	0.306	71.89815987870098	0.2892	0.2892	0.2892	0.2892	70.85663211494685	0.2986	0.2986	0.2986	0.2986
8	19:58:21	2	1.0000	3366.4513092041016	0.338	0.338	0.338	0.338	71.68985840156675	0.3074	0.3074	0.3074	0.3074	65.58305657207966	0.3429	0.3429	0.3429	0.3429
9	19:58:25	3	1.0000	3135.2564125061035	0.3549	0.3549	0.3549	0.3549	87.48660770654678	0.2953	0.2953	0.2953	0.2953	76.07028873860837	0.3561	0.3561	0.3561	0.3561
10	19:58:29	0	1.0000	2776.408420562744	0.4991	0.4991	0.4991	0.4991	61.17865239083767	0.4301	0.4301	0.4301	0.4301	53.706849470548335	0.464	0.464	0.464	0.464
