EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	12:01:34	0	0.0500	1.6822904819470985	1.1375406980514526	0.636	0.636	0.636	0.636
2	12:01:42	0	0.0500	0.9938465994952788	0.7759265899658203	0.7574	0.7574	0.7574	0.7574
3	12:01:50	0	0.0500	0.770866410552343	0.6515515446662903	0.8254	0.8254	0.8254	0.8254
4	12:01:58	0	0.0500	0.6591167233265636	0.5506449937820435	0.8401	0.8401	0.8401	0.8401
5	12:02:07	0	0.0500	0.5765652201257592	0.5092254877090454	0.8585	0.8585	0.8585	0.8585
6	12:02:15	1	0.0500	0.5198656716216471	0.4813874661922455	0.8566	0.8566	0.8566	0.8566
7	12:02:23	2	0.0500	0.47643465914531496	0.5135582089424133	0.8438	0.8438	0.8438	0.8438
8	12:02:31	3	0.0500	0.4513485054406147	0.49182096123695374	0.8493	0.8493	0.8493	0.8493
9	12:02:40	0	0.0500	0.42433565669618234	0.4804454743862152	0.8658	0.8658	0.8658	0.8658
10	12:02:49	0	0.0500	0.38576280048546807	0.4610249102115631	0.8842	0.8842	0.8842	0.8842
11	12:02:57	1	0.0500	0.3725592342621254	0.46162497997283936	0.8842	0.8842	0.8842	0.8842
12	12:03:05	0	0.0500	0.32151619266554377	0.4595904052257538	0.8915	0.8915	0.8915	0.8915
13	12:03:13	0	0.0500	0.3215060325645259	0.4593019187450409	0.8934	0.8934	0.8934	0.8934
14	12:03:21	1	0.0500	0.2933402870163777	0.4568856358528137	0.8676	0.8676	0.8676	0.8676
15	12:03:30	0	0.0500	0.2863317053157444	0.4486892521381378	0.8971	0.8971	0.8971	0.8971
16	12:03:38	0	0.0500	0.2670015394929489	0.4197847843170166	0.8989	0.8989	0.8989	0.8989
17	12:03:47	0	0.0500	0.28120835561961266	0.46943724155426025	0.9044	0.9044	0.9044	0.9044
18	12:03:55	0	0.0500	0.2454287441543608	0.42692553997039795	0.9044	0.9044	0.9044	0.9044
19	12:04:03	1	0.0500	0.25716386990576845	0.4229983389377594	0.8989	0.8989	0.8989	0.8989
20	12:04:11	2	0.0500	0.22910873948608762	0.4675857424736023	0.8952	0.8952	0.8952	0.8952
21	12:04:19	3	0.0500	0.2289174551701978	0.42422205209732056	0.9007	0.9007	0.9007	0.9007
22	12:04:28	4	0.0500	0.2057099588697009	0.48904722929000854	0.8879	0.8879	0.8879	0.8879
23	12:04:36	0	0.0250	0.17922198724063113	0.4359028935432434	0.9118	0.9118	0.9118	0.9118
24	12:04:45	1	0.0250	0.17076083083458451	0.4630295932292938	0.9044	0.9044	0.9044	0.9044
25	12:04:53	2	0.0250	0.14542936485523722	0.5094483494758606	0.9062	0.9062	0.9062	0.9062
