EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	19:31:15	4	0.0001	4.1358268363507396	3.875936985015869	0.3645	0.3645	0.3645	0.3645
2	19:31:19	4	0.0000	3.1603351123830214	2.774519681930542	0.3973	0.3973	0.3973	0.3973
3	19:31:23	4	0.0000	2.4474313040163262	2.150538921356201	0.4447	0.4447	0.4447	0.4447
4	19:31:27	4	0.0000	2.0905842819870197	1.8063081502914429	0.4666	0.4666	0.4666	0.4666
5	19:31:31	4	0.0000	1.839709262630602	1.6253204345703125	0.4945	0.4945	0.4945	0.4945
6	19:31:35	4	0.0000	1.7122253900460103	1.5282716751098633	0.5018	0.5018	0.5018	0.5018
7	19:31:39	4	0.0000	1.6201236337263953	1.4726808071136475	0.514	0.514	0.514	0.514
8	19:31:43	4	0.0000	1.5775292934691787	1.4387714862823486	0.5298	0.5298	0.5298	0.5298
9	19:31:47	4	0.0000	1.5378591665637351	1.4198462963104248	0.5346	0.5346	0.5346	0.5346
10	19:31:50	4	0.0000	1.5280054691530223	1.4120197296142578	0.5346	0.5346	0.5346	0.5346
