EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	09:13:57	0	1.0000	3.029758740123149	0.4571	0.4571	0.4571	0.4571	1.8670029640197754	0.4484	0.4484	0.4484	0.4484	1.6657902002334595	0.4967	0.4967	0.4967	0.4967
2	09:14:07	1	1.0000	2.384535040019042	0.4452	0.4452	0.4452	0.4452	2.0297369956970215	0.4444	0.4444	0.4444	0.4444	1.7406303882598877	0.5098	0.5098	0.5098	0.5098
3	09:14:10	2	1.0000	2.065095509592113	0.3785	0.3785	0.3785	0.3785	1.9144213199615479	0.3413	0.3413	0.3413	0.3413	1.8881102800369263	0.3341	0.3341	0.3341	0.3341
4	09:14:13	0	1.0000	1.798338536846882	0.4703	0.4703	0.4703	0.4703	1.6492571830749512	0.4742	0.4742	0.4742	0.4742	1.4997817277908325	0.5315	0.5315	0.5315	0.5315
5	09:14:23	1	1.0000	1.6574915996716615	0.4971	0.4971	0.4971	0.4971	1.6530958414077759	0.4206	0.4206	0.4206	0.4206	1.583970308303833	0.4729	0.4729	0.4729	0.4729
6	09:14:26	2	1.0000	1.5122985561779256	0.4892	0.4892	0.4892	0.4892	1.5167254209518433	0.4187	0.4187	0.4187	0.4187	1.3383773565292358	0.4794	0.4794	0.4794	0.4794
7	09:14:29	0	1.0000	1.484365768258827	0.6203	0.6203	0.6203	0.6203	1.3189005851745605	0.5556	0.5556	0.5556	0.5556	1.0604716539382935	0.6529	0.6529	0.6529	0.6529
8	09:14:45	0	1.0000	1.4675202319725227	0.5999	0.5999	0.5999	0.5999	1.44102144241333	0.5635	0.5635	0.5635	0.5635	1.1580212116241455	0.6399	0.6399	0.6399	0.6399
9	09:15:17	0	1.0000	1.3446761355041643	0.6549	0.6549	0.6549	0.6549	1.2147412300109863	0.5933	0.5933	0.5933	0.5933	0.9552122354507446	0.6334	0.6334	0.6334	0.6334
10	09:15:27	1	1.0000	1.2377276514005553	0.647	0.647	0.647	0.647	1.2434778213500977	0.5437	0.5437	0.5437	0.5437	1.0556929111480713	0.5922	0.5922	0.5922	0.5922
