EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	23:04:29	0	0.0500	2.274715476088123	0.5066	0.5066	0.5066	0.5066	1.5939733982086182	0.4845	0.4845	0.4845	0.4845
2	23:04:59	0	0.0500	1.3882513494360318	0.6974	0.6974	0.6974	0.6974	1.0181313753128052	0.6969	0.6969	0.6969	0.6969
3	23:05:23	0	0.0500	1.0704489148053502	0.7808	0.7808	0.7808	0.7808	0.7376775741577148	0.7773	0.7773	0.7773	0.7773
4	23:05:47	0	0.0500	0.857988125801539	0.8573	0.8573	0.8573	0.8573	0.5544847249984741	0.8495	0.8495	0.8495	0.8495
5	23:06:31	0	0.0500	0.6991891213712615	0.8868	0.8868	0.8868	0.8868	0.44340014457702637	0.8763	0.8763	0.8763	0.8763
6	23:07:00	0	0.0500	0.6097363705990378	0.8948	0.8948	0.8948	0.8948	0.40023136138916016	0.8845	0.8845	0.8845	0.8845
7	23:07:33	0	0.0500	0.5361215281837293	0.9123	0.9123	0.9123	0.9123	0.38529032468795776	0.8907	0.8907	0.8907	0.8907
8	23:07:57	0	0.0500	0.4749107324630093	0.915	0.915	0.915	0.915	0.36991003155708313	0.8928	0.8928	0.8928	0.8928
9	23:08:21	0	0.0500	0.427509224126279	0.9349	0.9349	0.9349	0.9349	0.2997131943702698	0.9216	0.9216	0.9216	0.9216
10	23:08:51	0	0.0500	0.3665666204524029	0.9461	0.9461	0.9461	0.9461	0.3496902585029602	0.9155	0.9155	0.9155	0.9155
11	23:09:21	0	0.0500	0.3460670909329393	0.9636	0.9636	0.9636	0.9636	0.25621652603149414	0.9443	0.9443	0.9443	0.9443
12	23:09:43	0	0.0500	0.30606958772200343	0.9673	0.9673	0.9673	0.9673	0.2890239655971527	0.9381	0.9381	0.9381	0.9381
13	23:10:04	0	0.0500	0.2708326438393251	0.9774	0.9774	0.9774	0.9774	0.2452469766139984	0.9464	0.9464	0.9464	0.9464
14	23:10:24	0	0.0500	0.24585561000967004	0.9793	0.9793	0.9793	0.9793	0.23363827168941498	0.9443	0.9443	0.9443	0.9443
15	23:10:42	0	0.0500	0.23012627138591343	0.9833	0.9833	0.9833	0.9833	0.23383337259292603	0.9443	0.9443	0.9443	0.9443
16	23:11:02	0	0.0500	0.22654239295159237	0.9865	0.9865	0.9865	0.9865	0.2502685785293579	0.9464	0.9464	0.9464	0.9464
17	23:11:23	0	0.0500	0.2082123453152027	0.9827	0.9827	0.9827	0.9827	0.2475253790616989	0.9423	0.9423	0.9423	0.9423
18	23:11:43	0	0.0500	0.1919997119767778	0.9843	0.9843	0.9843	0.9843	0.22759920358657837	0.9443	0.9443	0.9443	0.9443
19	23:12:05	0	0.0500	0.18565082753728676	0.9883	0.9883	0.9883	0.9883	0.2195865958929062	0.9567	0.9567	0.9567	0.9567
20	23:12:25	0	0.0500	0.18207222712679275	0.9846	0.9846	0.9846	0.9846	0.30122730135917664	0.9361	0.9361	0.9361	0.9361
21	23:12:46	0	0.0500	0.1644841539503332	0.9888	0.9888	0.9888	0.9888	0.30879926681518555	0.932	0.932	0.932	0.932
22	23:13:06	1	0.0500	0.17954546227294457	0.9894	0.9894	0.9894	0.9894	0.22865764796733856	0.9588	0.9588	0.9588	0.9588
23	23:13:20	2	0.0500	0.17033331666900245	0.9888	0.9888	0.9888	0.9888	0.2797178328037262	0.9443	0.9443	0.9443	0.9443
24	23:13:34	0	0.0500	0.14623654143302203	0.9857	0.9857	0.9857	0.9857	0.29849860072135925	0.9402	0.9402	0.9402	0.9402
25	23:14:04	1	0.0500	0.14877528401987214	0.9843	0.9843	0.9843	0.9843	0.2537282407283783	0.9526	0.9526	0.9526	0.9526
26	23:14:18	0	0.0500	0.14053097323438937	0.992	0.992	0.992	0.992	0.25533193349838257	0.9526	0.9526	0.9526	0.9526
27	23:14:47	0	0.0500	0.13652849898951622	0.9934	0.9934	0.9934	0.9934	0.24101190268993378	0.9567	0.9567	0.9567	0.9567
28	23:15:15	0	0.0500	0.1276781066764176	0.9934	0.9934	0.9934	0.9934	0.25525644421577454	0.9505	0.9505	0.9505	0.9505
29	23:15:37	0	0.0500	0.12529428139873516	0.9936	0.9936	0.9936	0.9936	0.22679537534713745	0.9567	0.9567	0.9567	0.9567
30	23:15:56	0	0.0500	0.1121189296669908	0.9934	0.9934	0.9934	0.9934	0.2055429369211197	0.9608	0.9608	0.9608	0.9608
31	23:16:14	1	0.0500	0.13931134282326213	0.9915	0.9915	0.9915	0.9915	0.19397181272506714	0.9608	0.9608	0.9608	0.9608
32	23:16:27	2	0.0500	0.12583073134890765	0.9955	0.9955	0.9955	0.9955	0.2217676341533661	0.9588	0.9588	0.9588	0.9588
33	23:16:41	3	0.0500	0.12325058019608189	0.992	0.992	0.992	0.992	0.20203407108783722	0.9629	0.9629	0.9629	0.9629
34	23:16:55	0	0.0500	0.10798225212730839	0.995	0.995	0.995	0.995	0.26760604977607727	0.9526	0.9526	0.9526	0.9526
35	23:17:12	0	0.0500	0.1050095714321055	0.9955	0.9955	0.9955	0.9955	0.22845245897769928	0.9629	0.9629	0.9629	0.9629
36	23:17:30	1	0.0500	0.10656374735350171	0.9947	0.9947	0.9947	0.9947	0.30361953377723694	0.9485	0.9485	0.9485	0.9485
37	23:17:44	2	0.0500	0.1237802473809632	0.9955	0.9955	0.9955	0.9955	0.2580982446670532	0.9567	0.9567	0.9567	0.9567
38	23:17:58	0	0.0500	0.09820377130784522	0.995	0.995	0.995	0.995	0.2709469497203827	0.9588	0.9588	0.9588	0.9588
39	23:18:15	1	0.0500	0.10698745847031241	0.9947	0.9947	0.9947	0.9947	0.2892487347126007	0.9526	0.9526	0.9526	0.9526
40	23:18:28	2	0.0500	0.10584548869628617	0.9963	0.9963	0.9963	0.9963	0.26859214901924133	0.9567	0.9567	0.9567	0.9567
41	23:18:42	3	0.0500	0.10438135827838045	0.996	0.996	0.996	0.996	0.22985327243804932	0.9608	0.9608	0.9608	0.9608
42	23:18:54	4	0.0500	0.10368125903759175	0.996	0.996	0.996	0.996	0.25298669934272766	0.9649	0.9649	0.9649	0.9649
43	23:19:15	0	0.0250	0.09207203787652926	0.9971	0.9971	0.9971	0.9971	0.22235101461410522	0.9649	0.9649	0.9649	0.9649
44	23:19:32	0	0.0250	0.076588488326686	0.9965	0.9965	0.9965	0.9965	0.23759213089942932	0.9649	0.9649	0.9649	0.9649
45	23:19:50	1	0.0250	0.09051209328918022	0.9971	0.9971	0.9971	0.9971	0.25920918583869934	0.9567	0.9567	0.9567	0.9567
46	23:20:03	0	0.0250	0.0756209237234933	0.9976	0.9976	0.9976	0.9976	0.27322885394096375	0.9608	0.9608	0.9608	0.9608
47	23:20:21	0	0.0250	0.06860896587145515	0.9971	0.9971	0.9971	0.9971	0.27183377742767334	0.9608	0.9608	0.9608	0.9608
