EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
1	21:35:36	0	1.0000	3.11995904017775	0.304	0.304	0.304	0.304	1.94224214553833	0.3846	0.3846	0.3846	0.3846
2	21:35:40	0	1.0000	2.386428063959094	0.3194	0.3194	0.3194	0.3194	2.388068199157715	0.2308	0.2308	0.2308	0.2308
3	21:35:45	0	1.0000	2.038545393797793	0.4101	0.4101	0.4101	0.4101	1.670372486114502	0.441	0.441	0.441	0.441
4	21:35:50	1	1.0000	2.3819526783767535	0.261	0.261	0.261	0.261	2.1711442470550537	0.2615	0.2615	0.2615	0.2615
5	21:35:51	2	1.0000	2.368815554575262	0.3554	0.3554	0.3554	0.3554	2.457019329071045	0.3795	0.3795	0.3795	0.3795
6	21:35:52	3	1.0000	2.5472358779080677	0.3761	0.3761	0.3761	0.3761	2.26350998878479	0.4103	0.4103	0.4103	0.4103
7	21:35:54	4	1.0000	2.0788996404934426	0.3751	0.3751	0.3751	0.3751	1.7638081312179565	0.4667	0.4667	0.4667	0.4667
8	21:35:57	0	0.5000	1.7936889605313273	0.3607	0.3607	0.3607	0.3607	1.814923644065857	0.3026	0.3026	0.3026	0.3026
9	21:36:04	0	0.5000	1.7538854281856269	0.4621	0.4621	0.4621	0.4621	1.6521188020706177	0.4872	0.4872	0.4872	0.4872
10	21:36:09	0	0.5000	1.5084035319087081	0.5358	0.5358	0.5358	0.5358	1.4215381145477295	0.4974	0.4974	0.4974	0.4974
11	21:36:15	0	0.5000	1.3811210096865063	0.6424	0.6424	0.6424	0.6424	1.095206379890442	0.5949	0.5949	0.5949	0.5949
12	21:36:20	0	0.5000	1.2691698617885767	0.6472	0.6472	0.6472	0.6472	1.1207621097564697	0.6103	0.6103	0.6103	0.6103
13	21:36:25	0	0.5000	1.096512890176508	0.7257	0.7257	0.7257	0.7257	0.9652926921844482	0.6769	0.6769	0.6769	0.6769
14	21:36:30	0	0.5000	0.9915890938484382	0.7448	0.7448	0.7448	0.7448	1.217279076576233	0.5897	0.5897	0.5897	0.5897
15	21:36:35	0	0.5000	0.90932680580114	0.7777	0.7777	0.7777	0.7777	0.9298533201217651	0.6564	0.6564	0.6564	0.6564
16	21:36:41	0	0.5000	0.8020398161964938	0.8228	0.8228	0.8228	0.8228	0.8472066521644592	0.6923	0.6923	0.6923	0.6923
