EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	23:16:05	0	0.5000	2.6687708822251395	2.2792305946350098	0.2262	0.2262	0.2262	0.2262
2	23:16:06	0	0.5000	2.1308591938379062	1.842363715171814	0.4444	0.4444	0.4444	0.4444
3	23:16:07	1	0.5000	1.9807009092229029	1.6617066860198975	0.4167	0.4167	0.4167	0.4167
4	23:16:08	2	0.5000	1.9000052314671838	1.507171869277954	0.3929	0.3929	0.3929	0.3929
5	23:16:09	0	0.5000	1.7556106229762547	1.6877968311309814	0.4524	0.4524	0.4524	0.4524
6	23:16:09	0	0.5000	1.7114149115243862	1.3713926076889038	0.4683	0.4683	0.4683	0.4683
7	23:16:10	0	0.5000	1.527163650175075	1.3084827661514282	0.5635	0.5635	0.5635	0.5635
8	23:16:11	1	0.5000	1.4608735991888155	1.2160145044326782	0.5198	0.5198	0.5198	0.5198
9	23:16:12	0	0.5000	1.4577976232982621	1.0831522941589355	0.6151	0.6151	0.6151	0.6151
10	23:16:13	0	0.5000	1.3102189757279685	1.0044634342193604	0.6627	0.6627	0.6627	0.6627
11	23:16:14	1	0.5000	1.2790588897688608	1.0105994939804077	0.6508	0.6508	0.6508	0.6508
12	23:16:15	2	0.5000	1.2771141105771258	1.0195341110229492	0.6032	0.6032	0.6032	0.6032
13	23:16:16	3	0.5000	1.194202610433777	1.16677987575531	0.6032	0.6032	0.6032	0.6032
14	23:16:17	4	0.5000	1.2957894190928774	1.115522861480713	0.6151	0.6151	0.6151	0.6151
15	23:16:17	0	0.2500	1.0268692453037516	0.7973084449768066	0.7659	0.7659	0.7659	0.7659
16	23:16:18	1	0.2500	0.9762831233478017	0.7991184592247009	0.7619	0.7619	0.7619	0.7619
17	23:16:19	2	0.2500	0.913807168498402	0.8181048035621643	0.7421	0.7421	0.7421	0.7421
18	23:16:20	3	0.2500	0.9171672971327113	0.7669212818145752	0.7381	0.7381	0.7381	0.7381
19	23:16:21	4	0.2500	0.8694430915844872	0.7736867070198059	0.7619	0.7619	0.7619	0.7619
20	23:16:22	0	0.1250	0.7987119671594627	0.7271023392677307	0.7738	0.7738	0.7738	0.7738
21	23:16:23	0	0.1250	0.7751401354670846	0.6841683387756348	0.8016	0.8016	0.8016	0.8016
22	23:16:24	1	0.1250	0.7504763492557466	0.6886420249938965	0.8016	0.8016	0.8016	0.8016
23	23:16:25	2	0.1250	0.7335207466170779	0.6653985977172852	0.7817	0.7817	0.7817	0.7817
24	23:16:26	3	0.1250	0.698010481182331	0.6830610632896423	0.7897	0.7897	0.7897	0.7897
25	23:16:26	4	0.1250	0.6639218029304254	0.7108495831489563	0.7659	0.7659	0.7659	0.7659
26	23:16:27	1	0.0625	0.6279260313195663	0.6909404397010803	0.7897	0.7897	0.7897	0.7897
27	23:16:28	2	0.0625	0.596934607269567	0.6929405331611633	0.7976	0.7976	0.7976	0.7976
28	23:16:29	3	0.0625	0.6205133642947037	0.6804429888725281	0.7817	0.7817	0.7817	0.7817
29	23:16:30	4	0.0625	0.5929208128631147	0.6997008919715881	0.7976	0.7976	0.7976	0.7976
30	23:16:31	0	0.0312	0.5944888037214778	0.6827368140220642	0.8016	0.8016	0.8016	0.8016
31	23:16:32	0	0.0312	0.5543349009234392	0.6803553104400635	0.8135	0.8135	0.8135	0.8135
32	23:16:33	1	0.0312	0.5692319010504503	0.6737245321273804	0.8095	0.8095	0.8095	0.8095
33	23:16:34	0	0.0312	0.5580858208974888	0.672687292098999	0.8175	0.8175	0.8175	0.8175
34	23:16:35	1	0.0312	0.5557239859797668	0.6686033010482788	0.8016	0.8016	0.8016	0.8016
35	23:16:36	2	0.0312	0.5102592011239164	0.6800722479820251	0.8056	0.8056	0.8056	0.8056
36	23:16:37	3	0.0312	0.5115456249156772	0.6620970368385315	0.8095	0.8095	0.8095	0.8095
37	23:16:37	4	0.0312	0.506348710283999	0.6700345277786255	0.8135	0.8135	0.8135	0.8135
38	23:16:38	0	0.0156	0.4810140890748322	0.6672163605690002	0.8175	0.8175	0.8175	0.8175
39	23:16:39	1	0.0156	0.4976340724658915	0.684402346611023	0.8135	0.8135	0.8135	0.8135
40	23:16:40	2	0.0156	0.515255890469003	0.6748560667037964	0.8016	0.8016	0.8016	0.8016
