EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY
1	20:59:40	0	0.5000	2.3398534536174895	1.413401484489441	0.5691	0.5691	0.5691	0.5691
2	20:59:41	0	0.5000	1.2136428207353624	0.8634647130966187	0.7143	0.7143	0.7143	0.7143
3	20:59:43	0	0.5000	0.9425867757650292	0.7689015865325928	0.7535	0.7535	0.7535	0.7535
4	20:59:44	0	0.5000	0.8786351863196575	0.6268005967140198	0.8203	0.8203	0.8203	0.8203
5	20:59:45	1	0.5000	0.7570015804423275	0.6256030201911926	0.8041	0.8041	0.8041	0.8041
6	20:59:46	2	0.5000	0.7201200710883431	0.5623942613601685	0.818	0.818	0.818	0.818
7	20:59:47	0	0.5000	0.640897099795557	0.47480112314224243	0.8456	0.8456	0.8456	0.8456
8	20:59:49	0	0.5000	0.638909320726691	0.4261166751384735	0.8479	0.8479	0.8479	0.8479
9	20:59:50	0	0.5000	0.6322516906849863	0.43360599875450134	0.8525	0.8525	0.8525	0.8525
10	20:59:52	1	0.5000	0.5653532620477564	0.466086745262146	0.8295	0.8295	0.8295	0.8295
11	20:59:53	0	0.5000	0.5535075719937483	0.4181462228298187	0.8687	0.8687	0.8687	0.8687
12	20:59:55	0	0.5000	0.5595378741236697	0.350787878036499	0.8894	0.8894	0.8894	0.8894
13	20:59:56	1	0.5000	0.5481995696901932	0.3871926963329315	0.8825	0.8825	0.8825	0.8825
14	20:59:57	2	0.5000	0.5458141535123604	0.44555404782295227	0.8456	0.8456	0.8456	0.8456
15	20:59:58	3	0.5000	0.533472236001669	0.39808592200279236	0.8594	0.8594	0.8594	0.8594
16	20:59:59	0	0.5000	0.5112909858486427	0.3331749439239502	0.894	0.894	0.894	0.894
17	21:00:01	1	0.5000	0.5110196671245552	0.3662562966346741	0.8664	0.8664	0.8664	0.8664
18	21:00:02	2	0.5000	0.505416874102246	0.39667198061943054	0.8664	0.8664	0.8664	0.8664
19	21:00:03	3	0.5000	0.513214127268359	0.46244552731513977	0.8502	0.8502	0.8502	0.8502
20	21:00:04	4	0.5000	0.512522600063863	0.37568143010139465	0.8733	0.8733	0.8733	0.8733
21	21:00:05	1	0.2500	0.3965785817833475	0.32177734375	0.8871	0.8871	0.8871	0.8871
22	21:00:07	0	0.2500	0.38557039162732193	0.29982832074165344	0.8986	0.8986	0.8986	0.8986
23	21:00:08	1	0.2500	0.3664574372796422	0.33208146691322327	0.8825	0.8825	0.8825	0.8825
24	21:00:09	2	0.2500	0.38657629212812583	0.29140251874923706	0.8825	0.8825	0.8825	0.8825
25	21:00:10	0	0.2500	0.37065305034869583	0.29254740476608276	0.9124	0.9124	0.9124	0.9124
26	21:00:12	1	0.2500	0.3586549955673397	0.3026825487613678	0.8917	0.8917	0.8917	0.8917
27	21:00:13	2	0.2500	0.3523916312750963	0.33705806732177734	0.8963	0.8963	0.8963	0.8963
28	21:00:14	3	0.2500	0.34567121265139394	0.2941787540912628	0.8963	0.8963	0.8963	0.8963
29	21:00:16	4	0.2500	0.3392716549992655	0.2641952335834503	0.9078	0.9078	0.9078	0.9078
30	21:00:17	0	0.1250	0.3108789499262413	0.2616366147994995	0.9217	0.9217	0.9217	0.9217
31	21:00:18	1	0.1250	0.2688929392669431	0.26823052763938904	0.9078	0.9078	0.9078	0.9078
32	21:00:19	2	0.1250	0.26190013392347056	0.2697069048881531	0.9101	0.9101	0.9101	0.9101
33	21:00:21	3	0.1250	0.2659843406966163	0.27845603227615356	0.9171	0.9171	0.9171	0.9171
34	21:00:22	4	0.1250	0.25524357984756546	0.2592752277851105	0.9171	0.9171	0.9171	0.9171
35	21:00:23	0	0.0625	0.2549057983175274	0.2586056888103485	0.9217	0.9217	0.9217	0.9217
36	21:00:25	1	0.0625	0.2480032944000555	0.2532757818698883	0.9194	0.9194	0.9194	0.9194
37	21:00:26	0	0.0625	0.23157874819939117	0.2416696846485138	0.9217	0.9217	0.9217	0.9217
38	21:00:27	0	0.0625	0.22581743751938332	0.2561538517475128	0.924	0.924	0.924	0.924
39	21:00:28	1	0.0625	0.22122248970643446	0.27070751786231995	0.9147	0.9147	0.9147	0.9147
40	21:00:30	0	0.0625	0.21533322676755517	0.23810812830924988	0.9263	0.9263	0.9263	0.9263
